frag_from,frag_to,chemotype_from,chemotype_to,layer,cross_layer,undirected_key,direction,n_pairs,n_contexts,core_heavy,frag_heavy_max,frag_heavy_diff,frag_ratio,core_over_frag,mean_d_Hf,std_d_Hf,z_Hf,p_Hf,sign_consistency_Hf,sig_Hf,mean_d_Q,std_d_Q,z_Q,p_Q,sign_consistency_Q,sig_Q,mean_d_OBgood,std_d_OBgood,z_OBgood,p_OBgood,sign_consistency_OBgood,sig_OBgood,mean_d_Pe,std_d_Pe,z_Pe,p_Pe,sign_consistency_Pe,sig_Pe,mean_d_D,std_d_D,z_D,p_D,sign_consistency_D,sig_D,mean_d_P,std_d_P,z_P,p_P,sign_consistency_P,sig_P,mean_d_IS,std_d_IS,z_IS,p_IS,sign_consistency_IS,sig_IS,composite_z,composite_gated,n_improve,n_worsen,has_tradeoff,composite_props
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn([*:2])c1N[N+](=O)[O-],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nnn(*)c1N[N+](=O)[O-],canonical,417,417,12.7866,9,3,0.413099,1.42073,58.4506,8.07528,1.16524,0,1,True,330.105,98.4655,2.1715,1.43998e-228,1,True,37.1831,7.22762,2.06743,1.31531e-301,1,True,0.18919,0.0449378,2.40198,5.46444e-267,1,True,1.10469,0.148391,2.45715,0,1,True,8.94923,1.01594,2.42357,0,1,True,-107.701,123.833,-1.05319,6.26525e-53,0.146283,True,12.6869,12.6869,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:2]c1nc([*:1])n(C)n1,[*:1]c1c([N+](=O)[O-])nnn1[*:2],azole_ring,nitro,linker,False,*c1c([N+](=O)[O-])nnn1*||*c1nc(*)n(C)n1,reverse,349,349,12.6819,8,2,0.386811,1.58524,48.705,10.4745,0.970957,5.59533e-238,1,True,368.352,100.856,2.4231,1.6258e-203,1,True,38.6707,7.18281,2.15014,2.79781e-259,1,True,0.176342,0.0472509,2.23886,1.46708e-206,1,True,1.09641,0.15519,2.43875,2.71406e-299,1,True,8.87927,1.14593,2.40462,0,1,True,-84.3885,127.246,-0.825219,1.87509e-29,0.232092,True,12.6264,12.6264,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nnn([*:1])c1N[N+](=O)[O-],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nnn(*)c1N[N+](=O)[O-],canonical,349,349,12.7077,9,3,0.414599,1.41197,57.6054,8.61065,1.14839,3.19857e-291,1,True,330.04,98.0429,2.17107,4.08259e-192,1,True,37.4372,7.18243,2.08156,1.4823e-254,1,True,0.186389,0.0452879,2.36641,1.90396e-220,1,True,1.0996,0.151939,2.44583,7.31825e-303,1,True,8.90289,1.071,2.41102,0,1,True,-99.5472,114.057,-0.973453,8.37197e-45,0.166189,True,12.6243,12.6243,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn(N=[N+]=[N-])c1[*:2],azole_ring,azide,linker,False,*c1nc(*)n(C)n1||*c1nnn(N=[N+]=[N-])c1*,canonical,431,431,12.6497,8,2,0.387416,1.58121,133.131,4.36098,2.65404,0,1,True,330.554,83.1269,2.17445,7.63648e-266,1,True,26.7804,5.66389,1.48903,1.51016e-296,1,True,0.198649,0.0579664,2.52207,5.77396e-240,1,True,0.877937,0.169795,1.95279,0,1,True,6.66785,0.887671,1.80574,0,1,True,-27.2176,91.8986,-0.266156,1.78656e-09,0.341067,True,12.5981,12.5981,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nn(N[N+](=O)[O-])nc1[*:2],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nn(N[N+](=O)[O-])nc1*,canonical,405,405,12.6272,9,3,0.416143,1.40302,57.4179,3.7603,1.14465,0,1,True,337.033,100.972,2.21708,2.48279e-221,1,True,37.9536,7.56111,2.11027,8.20489e-289,1,True,0.18909,0.0443843,2.40071,2.54581e-261,1,True,1.07622,0.156431,2.39383,0,1,True,8.54188,0.980071,2.31326,0,1,True,-115.22,121.884,-1.12671,4.40595e-58,0.138272,True,12.5798,12.5798,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nn([*:1])nc1[N+](=O)[O-],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nn(*)nc1[N+](=O)[O-],canonical,401,401,12.5835,8,2,0.38866,1.57294,45.1675,9.56733,0.900437,9.46237e-276,1,True,361.458,105.084,2.37775,5.7756e-224,1,True,39.0956,7.50028,2.17376,2.75314e-292,1,True,0.173594,0.0522389,2.20397,1.88207e-218,1,True,1.07853,0.162781,2.39897,0,1,True,8.6234,1.14697,2.33533,0,1,True,-76.188,128.218,-0.745028,3.69451e-28,0.261845,True,12.3902,12.3902,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nn([*:1])nc1N[N+](=O)[O-],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nn(*)nc1N[N+](=O)[O-],canonical,325,325,12.6246,9,3,0.416192,1.40274,53.5938,8.28812,1.06842,1.32858e-266,1,True,318.766,99.6306,2.09691,1.84381e-172,1,True,37.6563,7.17651,2.09374,4.7762e-238,1,True,0.178837,0.0423784,2.27053,1.01774e-208,1,True,1.07971,0.143924,2.4016,4.38123e-287,1,True,8.71168,0.983996,2.35924,4.78576e-310,1,True,-96.7633,116.613,-0.946229,7.82414e-39,0.16,True,12.2904,12.2904,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nn([N+](=O)[O-])nc1[*:2],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nn([N+](=O)[O-])nc1*,canonical,450,450,12.5822,8,2,0.388685,1.57278,43.9766,4.15553,0.876695,0,1,True,353.866,107.218,2.32781,9.87217e-244,1,True,38.893,7.49188,2.1625,0,1,True,0.169594,0.0458723,2.15318,3.43378e-264,1,True,1.08151,0.166795,2.4056,0,1,True,8.71719,1.16856,2.36073,0,1,True,-89.2208,123.306,-0.872473,4.77552e-43,0.197778,True,12.2865,12.2865,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nn([*:2])nc1[N+](=O)[O-],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nn(*)nc1[N+](=O)[O-],canonical,406,406,12.702,8,2,0.386437,1.58775,44.9715,8.70803,0.896529,2.44131e-294,1,True,353.201,100.208,2.32343,1.05357e-230,1,True,38.5238,7.13191,2.14197,5.75015e-302,1,True,0.167979,0.0467695,2.13268,8.97425e-234,1,True,1.06927,0.158401,2.37839,0,1,True,8.63213,1.15215,2.3377,0,1,True,-79.9292,120.413,-0.781612,4.78414e-34,0.206897,True,12.2107,12.2107,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnc([*:2])n1[N+](=O)[O-],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnc(*)n1[N+](=O)[O-],canonical,446,446,12.5022,8,2,0.390201,1.56278,41.2982,5.06311,0.823299,0,1,True,345.546,101.258,2.27308,1.6462e-247,1,True,38.9869,7.30349,2.16772,0,1,True,0.161612,0.0448357,2.05184,2.68508e-257,1,True,1.0954,0.156973,2.43651,0,1,True,8.91355,1.12121,2.41391,0,1,True,-63.2734,116.334,-0.618738,6.36742e-27,0.264574,True,12.1664,12.1664,6,0,False,Hf|Q|OBgood|Pe|D|P
