rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,102248674,10,2457,nitramine:10;nitro:10;azole_ring:10;azide:4,[*:1]N[N+](=O)[O-].[*:2]n1c(C)nc(N)c1N=[N+]=[N-],6,-0.316,-0.00629961,-1.0319,-0.00678808,0,0,-0.00076,-0.00964904,-0.0123354,-0.0274376,-0.117932,-0.0319376,-22.5176,-0.220195
60,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnnc1[*:2],azole_ring,azole_ring,2,158720037,10,590,nitro:10;azole_ring:10;azide:4;amino:4,[*:1][N+](=O)[O-].[*:2]n1c(C)nc(N)c1N=[N+]=[N-],6,-0.316,-0.00629961,-1.0319,-0.00678808,0,0,-0.00076,-0.00964904,-0.0123354,-0.0274376,-0.117932,-0.0319376,-22.5176,-0.220195
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,5559038,8,2457,azole_ring:8;nitro:7;nitramine:6;hydroxyl:3,[*:1]C.[*:2]c1c(C)c(N[N+](=O)[O-])nn1C,6,-3.18375,-0.0634696,-12.506,-0.0822671,0,0,-0.0090375,-0.114741,-0.00558294,-0.0124181,-0.00367209,-0.00099445,-19.1737,-0.187495
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,129761501,8,2457,nitro:8;azole_ring:8;hydroxyl:5;nitramine:4,[*:2][N+](=O)[O-].[*:1]c1n[nH]c(O)c1N=[N+]=[N-],6,-6.0475,-0.12056,-24.0489,-0.158199,0,0,-0.0164,-0.208216,-0.0902686,-0.200784,-0.834168,-0.225904,-43.2319,-0.422756
61,[*:1]Nc1nnnn1[*:2],[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,158719299,8,577,nitro:8;azole_ring:8;nitramine:4;amino:3,[*:1][N+](=O)[O-].[*:2]n1c(C)cnc1C,6,-5.56875,-0.111016,-19.9075,-0.130956,0,0,-0.0142,-0.180285,0.0469668,0.104468,0.544974,0.147586,14.8256,0.144977
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,9587274,7,1293,azole_ring:7;amino:5;nitramine:3;nitro:3,[*:1]C.[*:2]n1c(C)nc(C)c1N,6,-17.7171,-0.3532,-82.3476,-0.5417,0,0,-0.0733429,-0.931169,-0.118108,-0.262706,-0.491325,-0.133057,43.8454,0.428756
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,9944350,6,1293,azole_ring:6;nitro:3;amino:3;nitramine:2,[*:1]C.[*:2]n1nc(N)c(N[N+](=O)[O-])c1N=[N+]=[N-],6,-19.8567,-0.395852,-95.1191,-0.625713,0,0,-0.07785,-0.988392,-0.0701315,-0.155993,-0.163593,-0.0443032,29.6383,0.289827
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,54821348,5,2457,azide:5;azole_ring:5;nitro:4;nitramine:3,[*:2]N=[N+]=[N-].[*:1]c1nc(C)cn1N[N+](=O)[O-],6,-18.958,-0.377937,-70.8774,-0.466246,0,0,-0.04896,-0.621601,-0.139964,-0.311322,-1.14708,-0.310645,-35.3122,-0.345311
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,9587464,4,2457,nitramine:4;nitro:4;azole_ring:4;azide:1,[*:1]C.[*:2]n1c(C)nc(N[N+](=O)[O-])c1C,6,-17.105,-0.340997,-64.2578,-0.422701,0,0,-0.0469,-0.595447,-0.0740131,-0.164627,-0.380896,-0.103152,-21.2209,-0.207515
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,9793626,4,2457,azole_ring:4;nitro:2;hydroxyl:2;nitramine:1,[*:1]C.[*:2]n1cc([N+](=O)[O-])nc1N[N+](=O)[O-],6,-18.395,-0.366713,-88.3947,-0.581479,0,0,-0.0694,-0.88111,-0.101739,-0.226299,-0.398847,-0.108013,-21.9169,-0.214321
