rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
13950363,[*:1]N=N[*:2],[*:1]N=[N+]([*:2])[O-],azo,azoxy,2,192146596,9,3892,azole_ring:9;hydroxyl:5;nitro:5;amino:4,[*:1]c1nn(C)nc1C.[*:2]n1cnnc1O,1,-4.63667,-0.0924342,111.714,0.734877,10.9533,0.60902,0.0539222,0.684602,0.309223,0.687805,2.44415,0.661908,1.49126,0.0145827
13950363,[*:1]N=N[*:2],[*:1]N=[N+]([*:2])[O-],azo,azoxy,2,198554830,9,3892,azole_ring:9;azide:6;nitro:5;nitramine:4,[*:1]n1cnnc1C.[*:2]n1nncc1C,1,1.93667,0.0386084,125.692,0.826829,9.97558,0.554655,0.0687889,0.873351,0.31056,0.690778,2.44677,0.662617,-19.6319,-0.191977
2,[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],azole_ring,azole_ring,2,9930464,9,2833,azole_ring:9;hydroxyl:7;nitro:4;nitramine:3,[*:2]C.[*:1]n1nc(N)c(N)c1N[N+](=O)[O-],1,1.83556,0.0365927,9.70981,0.0638732,0,0,0.00772222,0.0980422,0.0248328,0.0552356,0.164107,0.0444423,-31.4483,-0.307526
2,[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],azole_ring,azole_ring,2,54749687,9,2833,azide:9;nitro:9;azole_ring:9;nitramine:5,[*:2]N=[N+]=[N-].[*:1]c1n[nH]c(O)c1[N+](=O)[O-],1,4.52556,0.0902192,17.6904,0.116371,0,0,0.0118,0.149814,0.0259707,0.0577665,0.185795,0.0503158,-20.9176,-0.20455
2,[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],azole_ring,azole_ring,2,127317727,9,2833,nitro:9;azole_ring:9;hydroxyl:6;amino:5,[*:2][N+](=O)[O-].[*:1]c1c(C)c([N+](=O)[O-])nn1O,1,3.81,0.0759542,14.2077,0.0934611,0,0,0.0098,0.124422,0.0305405,0.0679311,0.257162,0.069643,-18.2889,-0.178844
2,[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],azole_ring,azole_ring,2,158719778,9,2833,nitro:9;azole_ring:9;amino:6;nitramine:5,[*:2][N+](=O)[O-].[*:1]n1c(C)nc(C)c1N=[N+]=[N-],1,5.37778,0.107209,20.0113,0.131638,0,0,0.014,0.177746,0.0294145,0.0654266,0.218954,0.0592956,-44.952,-0.439577
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,18008558,9,2457,azole_ring:9;amino:9;nitro:6;hydroxyl:5,[*:1]N.[*:2]c1c(N)c([N+](=O)[O-])nn1[N+](=O)[O-],1,15.4944,0.308889,70.054,0.46083,0,0,0.0558556,0.709148,0.118439,0.263444,0.763118,0.206663,-0.0770444,-0.000753402
29,[*:1]c1nnn([*:2])n1,[*:2]c1nnn([*:1])n1,azole_ring,azole_ring,2,6123374,9,1165,azole_ring:9;azide:6;nitro:4;amino:3,[*:1]C.[*:2]c1nc(N)c(C)n1O,1,-5.92889,-0.118195,-26.4914,-0.174266,0,0,-0.0212222,-0.26944,-0.0132728,-0.0295227,0.0113506,0.0030739,26.9299,0.263342
2468,[*:1]c1nc(C)nn1[*:2],[*:1]c1nnc(O)n1[*:2],azole_ring,azole_ring,2,25333074,9,491,azide:9;azo:9;azole_ring:9;nitro:4,[*:2]N=Nc1cn(C)nn1.[*:1]N=[N+]=[N-],1,-19.0167,-0.379107,101.763,0.66942,23.8232,1.3246,0.0107444,0.136413,0.558161,1.24152,4.95116,1.34084,12.792,0.125091
2468,[*:1]c1nc(C)nn1[*:2],[*:1]c1nnc(O)n1[*:2],azole_ring,azole_ring,2,50129969,9,491,azide:9;nitro:9;hydrazo:9;azole_ring:9,[*:1]N=[N+]=[N-].[*:2]NNc1n[nH]c([N+](=O)[O-])n1,1,-15.2544,-0.304105,98.7206,0.649405,21.9442,1.22012,0.0161333,0.204831,0.619687,1.37837,5.85603,1.58589,0.0909333,0.000889219
2497,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnc([*:2])[nH]1,azole_ring,azole_ring,2,25380738,9,484,nitro:9;azo:9;azole_ring:9;hydroxyl:4,[*:1]N=Nc1cn[nH]n1.[*:2][N+](=O)[O-],1,-0.321111,-0.00640151,-102.251,-0.672626,-8.99574,-0.500174,-0.0652778,-0.828774,-0.318969,-0.709482,-2.61796,-0.708979,22.8415,0.223363
4037,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn(N)nc1[*:2],azole_ring,azole_ring,2,2463791,9,483,hydrazo:9;azole_ring:9;amino:9;nitro:4,[*:2]C.[*:1]NNc1c(O)nnn1N,1,19.4978,0.388698,81.8131,0.538184,0,0,0.0766333,0.972945,0.1383,0.307621,0.806325,0.218364,41.5589,0.406396
4037,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn(N)nc1[*:2],azole_ring,azole_ring,2,24984649,9,483,nitro:9;azo:9;azole_ring:9;amino:4,[*:1]N=Nc1c(N)nnn1N=[N+]=[N-].[*:2][N+](=O)[O-],1,14.61,0.291257,51.4055,0.338156,0,0,0.0367444,0.466511,0.0207059,0.0460561,-0.000754236,-0.000204257,-19.4136,-0.189842
4037,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn(N)nc1[*:2],azole_ring,azole_ring,2,42781110,9,483,nitramine:9;azoxy:9;nitro:9;azole_ring:9,[*:2]N=[N+]([O-])c1c(N)nnn1C.[*:1]N[N+](=O)[O-],1,10.3544,0.206421,33.9634,0.223418,0,0,0.0247667,0.31444,0.0660226,0.146854,0.557605,0.151007,0.562433,0.00549993
2854,[*:1]c1nn(C)nc1[*:2],[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,22363,9,481,azo:9;azole_ring:9;nitro:6;nitramine:4,[*:1]C.[*:2]N=Nc1c(N=[N+]=[N-])nnn1[N+](=O)[O-],1,34.7578,0.692913,134.855,0.887104,16.3778,0.910629,0.110889,1.40786,0.574723,1.27835,3.91238,1.05952,19.4529,0.190226
2085,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nnc([*:2])n1O,azole_ring,azole_ring,2,25339017,9,480,azo:9;azole_ring:9;hydroxyl:9;amino:4,[*:2]N=Nc1cn(N)nn1.[*:1]O,1,-17.1811,-0.342514,140.431,0.923784,10.321,0.573862,0.0215889,0.274095,0.224612,0.499605,1.98062,0.536377,-23.1445,-0.226325
393,[*:1]c1nc([*:2])n(N=[N+]=[N-])n1,[*:1]c1nnn(C)c1[*:2],azide,azole_ring,2,50127647,9,477,azide:9;hydrazo:9;azole_ring:9;amino:9,[*:2]N=[N+]=[N-].[*:1]NNc1cnnn1[N+](=O)[O-],1,-89.2389,-1.77902,-192.923,-1.26909,-27.1816,-1.51133,-0.0703222,-0.892818,-0.595891,-1.32544,-4.71601,-1.27716,-45.081,-0.440838
2066,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,72169109,9,476,hydrazo:9;azole_ring:9;amino:9;hydroxyl:9,[*:1]NNc1c(C)nnn1O.[*:2]O,1,24.4922,0.488264,103.144,0.678503,0,0,0.0904556,1.14843,0.202004,0.449318,1.382,0.374265,68.5117,0.669962
1938,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,2521585,9,474,hydrazo:9;azole_ring:9;amino:9;nitro:6,[*:1]C.[*:2]NNc1nn(O)nc1O,1,45.3256,0.903587,-42.3602,-0.278654,-9.78438,-0.544024,0.0732111,0.929496,0.0396889,0.08828,-0.0107615,-0.00291435,95.6163,0.935013
1938,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,72558784,9,474,hydrazo:9;azole_ring:9;amino:9;hydroxyl:9,[*:1]NNc1cnn(C)n1.[*:2]O,1,47.8967,0.954843,-19.9616,-0.131312,-10.1468,-0.564176,0.0730778,0.927803,0.0301036,0.0669593,-0.0906759,-0.0245563,106.831,1.04468
1938,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,73061800,9,474,nitro:9;hydrazo:9;azole_ring:9;amino:9,[*:1]NNc1nc(O)nn1N.[*:2][N+](=O)[O-],1,36.67,0.731034,-30.019,-0.197471,-9.09316,-0.505591,0.0332444,0.422075,-0.0764451,-0.170037,-0.847927,-0.22963,-7.68818,-0.0751812
1383,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nn[nH]c1[*:2],azole_ring,azole_ring,2,12686319,9,473,azo:9;azole_ring:9;amino:9;nitro:3,[*:2]N.[*:1]N=Nc1cnn(N)n1,1,15.09,0.300827,68.9873,0.453813,0,0,0.0590111,0.749211,0.120547,0.268132,0.763614,0.206797,-58.9973,-0.576923
1383,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nn[nH]c1[*:2],azole_ring,azole_ring,2,25771981,9,473,azo:9;azole_ring:9;hydroxyl:9;amino:3,[*:2]N=Nc1nc(N=[N+]=[N-])n[nH]1.[*:1]O,1,17.3278,0.345438,82.4923,0.542652,0,0,0.0619,0.785889,0.125441,0.279017,0.770877,0.208764,-6.76827,-0.0661855
1882,[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn([N+](=O)[O-])c1[*:2],azole_ring,nitro,2,12972,9,473,azo:9;azole_ring:9;nitro:5;hydroxyl:3,[*:1]C.[*:2]N=Nc1c(C)nnn1O,1,50.8433,1.01359,425.125,2.79656,41.9788,2.33407,0.176422,2.23988,1.05942,2.35647,7.9906,2.16396,10.045,0.0982278
210,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn([N+](=O)[O-])c1[*:2],azole_ring,nitro,2,25008194,9,469,azide:9;azo:9;azole_ring:9;hydroxyl:4,[*:1]N=Nc1c(N)nnn1O.[*:2]N=[N+]=[N-],1,47.2756,0.942461,160.213,1.05392,12.1675,0.676531,0.0872111,1.10724,0.375141,0.834426,3.06265,0.829407,23.9099,0.23381
210,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn([N+](=O)[O-])c1[*:2],azole_ring,nitro,2,25387882,9,469,azo:9;azole_ring:9;hydroxyl:9;nitro:4,[*:1]N=Nc1cnn(N)n1.[*:2]O,1,43.1267,0.859751,175.851,1.15679,13.9702,0.776762,0.100322,1.2737,0.45173,1.00478,3.63746,0.985072,79.8951,0.781279
210,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn([N+](=O)[O-])c1[*:2],azole_ring,nitro,2,25417766,9,469,nitramine:9;nitro:9;azo:9;azole_ring:9,[*:2]N=Nc1cnn([N+](=O)[O-])n1.[*:1]N[N+](=O)[O-],1,45.4333,0.905736,145.064,0.954264,11.0196,0.612705,0.0775444,0.984513,0.352838,0.784818,3.0382,0.822784,12.9849,0.126977
719,[*:1]c1nc(C)nn1[*:2],[*:1]c1nncn1[*:2],azole_ring,azole_ring,2,14956712,9,469,hydrazo:9;azole_ring:9;amino:9;nitro:4,[*:2]N.[*:1]NNc1nc(N)n(O)n1,1,19.71,0.392928,147.703,0.971623,15.5228,0.863088,0.0916111,1.1631,0.496716,1.10485,3.78017,1.02372,79.3515,0.775963
2557,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,25194935,9,469,nitramine:9;nitro:9;azo:9;azole_ring:9,[*:2]N=Nc1c(N[N+](=O)[O-])nnn1[N+](=O)[O-].[*:1]N[N+](=O)[O-,1,40.7733,0.812836,75.2212,0.494821,-0.658227,-0.0365982,0.0934333,1.18624,0.188696,0.419716,1.3773,0.372992,17.8921,0.174963
2557,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,25226204,9,469,nitro:9;azo:9;azole_ring:9;hydroxyl:4,[*:1]N=Nc1c(O)nnn1N=[N+]=[N-].[*:2][N+](=O)[O-],1,42.2456,0.842186,96.8993,0.637424,-0.525687,-0.0292289,0.110367,1.40123,0.230433,0.512553,1.65645,0.448588,31.3714,0.306775
2557,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,42824519,9,469,azoxy:9;azole_ring:9;hydroxyl:9;azide:4,[*:1]N=[N+]([O-])c1c(N=[N+]=[N-])nnn1[N+](=O)[O-].[*:2]O,1,41.3833,0.824997,98.1343,0.645548,-0.157495,-0.00875695,0.114656,1.45568,0.23466,0.521953,1.5631,0.42331,26.7111,0.261202
2557,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,42907643,9,469,azoxy:9;nitro:9;azole_ring:9;nitramine:2,[*:1]N=[N+]([O-])c1n[nH]nc1N[N+](=O)[O-].[*:2][N+](=O)[O-],1,42.07,0.838686,90.2813,0.593889,-0.923091,-0.051325,0.0976444,1.2397,0.17374,0.38645,1.25389,0.339571,0.484356,0.00473642
2557,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N)c1[*:2],azole_ring,azole_ring,2,50136802,9,469,azide:9;hydrazo:9;azole_ring:9;amino:9,[*:2]N=[N+]=[N-].[*:1]NNc1nc(C)nn1N[N+](=O)[O-],1,50,0.996774,118.389,0.778787,0.424907,0.0236254,0.1361,1.72794,0.287558,0.639616,1.95744,0.5301,-5.99373,-0.0586115
2599,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,53611415,9,469,azide:9;azoxy:9;azole_ring:9;nitro:4,[*:1]N=[N+]=[N-].[*:2][N+]([O-])=Nc1cnn(C)n1,1,-13.6044,-0.271211,-34.471,-0.226758,-13.9616,-0.776281,-0.0346778,-0.440273,-0.458081,-1.01891,-4.04456,-1.09532,-2.18114,-0.021329
628,[*:1]c1nn([*:2])nc1N,[*:1]c1nn([*:2])nc1N=[N+]=[N-],azole_ring,azide,2,72562310,9,467,hydrazo:9;azole_ring:9;amino:9;hydroxyl:9,[*:2]NNc1cnn(N)n1.[*:1]O,1,79.45,1.58387,148.033,0.973792,11.064,0.615172,0.0558,0.708443,0.237575,0.528437,1.81448,0.491384,-51.4128,-0.502756
3741,[*:1]c1nc([*:2])n(N=[N+]=[N-])n1,[*:1]c1nn(C)nc1[*:2],azide,azole_ring,2,35258,9,467,azo:9;azole_ring:9;azide:4;nitro:3,[*:1]C.[*:2]N=Nc1cn([N+](=O)[O-])nn1,1,-102.227,-2.03794,-271.38,-1.7852,-31.5654,-1.75508,-0.126744,-1.60916,-0.754972,-1.67928,-5.27521,-1.4286,-23.3327,-0.228166
3922,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn(O)c1[*:2],azole_ring,azole_ring,2,25143539,9,466,nitro:9;azo:9;azole_ring:9;amino:4,[*:1]N=Nc1c(N[N+](=O)[O-])nnn1N.[*:2][N+](=O)[O-],1,16.8822,0.336555,63.9957,0.420977,0,0,0.0443667,0.563284,0.082322,0.183109,0.591257,0.16012,11.2229,0.109747
3922,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn(O)c1[*:2],azole_ring,azole_ring,2,72558789,9,466,hydrazo:9;azole_ring:9;amino:9;hydroxyl:9,[*:1]NNc1cnn(C)n1.[*:2]O,1,24.1611,0.481664,92.6632,0.609558,0,0,0.0704222,0.894088,0.152305,0.338772,1.0823,0.293101,32.3335,0.316183
3922,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nnn(O)c1[*:2],azole_ring,azole_ring,2,121635443,9,466,azoxy:9;azole_ring:9;hydroxyl:9;nitro:5,[*:1]O.[*:2][N+]([O-])=Nc1nc(N)n(C)n1,1,18.9467,0.377711,73.3202,0.482316,0,0,0.0515333,0.654273,0.100352,0.223214,0.699854,0.18953,1.03812,0.0101516
1767,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnc([*:2])[nH]1,azole_ring,azole_ring,2,72101897,9,464,nitro:9;hydrazo:9;azole_ring:9;amino:9,[*:2]NNc1[nH]nnc1N[N+](=O)[O-].[*:1][N+](=O)[O-],1,6.67333,0.133036,23.8503,0.156893,0,0,0.0173667,0.220489,0.0252479,0.0561589,0.145428,0.0393839,-28.3587,-0.277314
1767,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnc([*:2])[nH]1,azole_ring,azole_ring,2,72168659,9,464,nitramine:9;nitro:9;hydrazo:9;azole_ring:9,[*:1]NNc1c(C)nnn1O.[*:2]N[N+](=O)[O-],1,7.42778,0.148076,27.7944,0.182837,0,0,0.0208889,0.265208,0.0454837,0.101169,0.330719,0.089563,-23.4939,-0.229742
1770,[*:1]c1nnc([*:2])[nH]1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,72362156,9,464,hydrazo:9;azole_ring:9;amino:9;hydroxyl:9,[*:1]NNc1c(N[N+](=O)[O-])nnn1N=[N+]=[N-].[*:2]O,1,9.44889,0.188368,-15.7654,-0.103708,-16.0925,-0.894766,0.0272778,0.346322,-0.353982,-0.787362,-3.20419,-0.867736,-14.8684,-0.145395
4085,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn[nH]c1[*:2],azole_ring,azole_ring,2,25557386,9,464,nitramine:9;nitro:9;azo:9;azole_ring:9,[*:1]N=Nc1nc(C)n(N=[N+]=[N-])n1.[*:2]N[N+](=O)[O-],1,-12.2489,-0.244188,18.9904,0.124923,0.468517,0.0260502,-0.0229778,-0.291728,-0.0381669,-0.0848946,-0.228023,-0.0617517,-15.7101,-0.153626
4085,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn[nH]c1[*:2],azole_ring,azole_ring,2,25974474,9,464,nitro:9;azo:9;azole_ring:9;hydroxyl:4,[*:2]N=Nc1nc(O)nn1[N+](=O)[O-].[*:1][N+](=O)[O-],1,-6.00333,-0.119679,37.9907,0.249911,0.838651,0.0466301,-0.00784444,-0.0995939,-0.00932636,-0.0207446,-0.0587331,-0.0159057,-37.0042,-0.361857
264,[*:1]c1nn([*:2])nc1[N+](=O)[O-],[*:1]c1nnn([*:2])n1,nitro,azole_ring,2,27736,9,463,azo:9;azole_ring:9;nitro:5;azide:4,[*:1]C.[*:2]N=Nc1c(O)nnn1N[N+](=O)[O-],1,15.0133,0.299298,-98.5132,-0.648041,-9.23736,-0.513609,0.0403333,0.512076,-0.144376,-0.321136,-1.58636,-0.429608,-52.1975,-0.510429
264,[*:1]c1nn([*:2])nc1[N+](=O)[O-],[*:1]c1nnn([*:2])n1,nitro,azole_ring,2,50114809,9,463,azide:9;hydrazo:9;azole_ring:9;amino:9,[*:1]N=[N+]=[N-].[*:2]NNc1c(O)nnn1N=[N+]=[N-],1,12.6333,0.251852,-91.6362,-0.602802,-6.77662,-0.376789,0.03,0.380883,-0.095058,-0.211437,-1.13889,-0.308426,-12.5799,-0.123016
264,[*:1]c1nn([*:2])nc1[N+](=O)[O-],[*:1]c1nnn([*:2])n1,nitro,azole_ring,2,50135375,9,463,azide:9;hydrazo:9;azole_ring:9;amino:9,[*:2]N=[N+]=[N-].[*:1]NNc1nc(C)n[nH]1,1,16.2389,0.32373,-86.8884,-0.57157,-6.64623,-0.369539,0.0617333,0.783773,-0.0404213,-0.089909,-0.815625,-0.220882,-3.14893,-0.0307928
903,[*:1]c1nc([*:2])n(N=[N+]=[N-])n1,[*:1]c1nnc([*:2])n1N[N+](=O)[O-],azide,nitramine,2,5989,9,463,azo:9;azole_ring:9;hydroxyl:4;nitro:3,[*:2]C.[*:1]N=Nc1[nH]nnc1N[N+](=O)[O-],1,-61.8944,-1.2339,92.9618,0.611522,13.9226,0.774116,0.0256111,0.325161,0.288619,0.641976,2.32978,0.630935,34.0176,0.332651
903,[*:1]c1nc([*:2])n(N=[N+]=[N-])n1,[*:1]c1nnc([*:2])n1N[N+](=O)[O-],azide,nitramine,2,49331,9,463,azo:9;azole_ring:9;nitramine:3;nitro:3,[*:1]C.[*:2]N=Nc1nc(C)n[nH]1,1,-63.4156,-1.26422,98.9654,0.651015,14.3181,0.796106,0.0184111,0.233749,0.282361,0.628055,2.29343,0.621092,76.3288,0.746404
1756,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn(C)nc1[*:2],azole_ring,azole_ring,2,42770254,9,463,azide:9;azoxy:9;azole_ring:9;nitramine:4,[*:1]N=[N+]([O-])c1c(C)nnn1N[N+](=O)[O-].[*:2]N=[N+]=[N-],1,-14.2956,-0.284989,-38.6365,-0.254159,-14.0654,-0.782054,-0.0341778,-0.433925,-0.461131,-1.02569,-3.96019,-1.07247,-0.905278,-0.00885253
1756,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn(C)nc1[*:2],azole_ring,azole_ring,2,72161709,9,463,nitro:9;hydrazo:9;azole_ring:9;amino:9,[*:2]NNc1c(C)nnn1N[N+](=O)[O-].[*:1][N+](=O)[O-],1,-19.1689,-0.382141,-61.5492,-0.404884,-14.8473,-0.825526,-0.0515889,-0.654978,-0.499206,-1.11038,-4.10686,-1.11219,-58.442,-0.571493
2597,[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,12729871,9,462,azo:9;azole_ring:9;amino:9;azide:3,[*:2]N.[*:1]N=Nc1nn(N=[N+]=[N-])nc1C,1,15.0311,0.299653,62.2447,0.409459,0,0,0.0546444,0.693772,0.115316,0.256497,0.68638,0.185881,-0.3137,-0.00306761
2597,[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,42784678,9,462,azoxy:9;azole_ring:9;hydroxyl:9;nitro:5,[*:1]N=[N+]([O-])c1c(N)nnn1N.[*:2]O,1,13.9122,0.277347,51.4818,0.338658,0,0,0.0376333,0.477797,0.0803317,0.178682,0.533063,0.144361,-18.9326,-0.185138
257,[*:1]c1nc([*:2])n([N+](=O)[O-])n1,[*:1]c1nn(N)nc1[*:2],nitro,azole_ring,2,12654932,9,459,azo:9;azole_ring:9;amino:9;azide:3,[*:2]N.[*:1]N=Nc1[nH]nnc1C,1,17.9967,0.358772,-195.221,-1.28421,-26.657,-1.48216,0.0118111,0.149955,-0.383142,-0.852223,-3.5321,-0.95654,-4.24382,-0.0414995
257,[*:1]c1nc([*:2])n([N+](=O)[O-])n1,[*:1]c1nn(N)nc1[*:2],nitro,azole_ring,2,72151290,9,459,nitro:9;hydrazo:9;azole_ring:9;amino:9,[*:1]NNc1c(C)nnn1N=[N+]=[N-].[*:2][N+](=O)[O-],1,3.39667,0.0677142,-139.318,-0.916462,-19.0714,-1.06039,-0.0160222,-0.20342,-0.332722,-0.740073,-3.04905,-0.825724,14.1919,0.13878
1335,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nnc([*:2])n1N=[N+]=[N-],azole_ring,azide,2,24832391,9,458,nitro:9;azo:9;azole_ring:9;nitramine:3,[*:2]N=Nc1[nH]nnc1N[N+](=O)[O-].[*:1][N+](=O)[O-],1,97.2522,1.93877,160.48,1.05567,8.43388,0.468934,0.0701,0.889997,0.221168,0.491943,1.69729,0.459648,-4.15294,-0.0406108
1335,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nnc([*:2])n1N=[N+]=[N-],azole_ring,azide,2,43041223,9,458,nitramine:9;azoxy:9;nitro:9;azole_ring:9,[*:1]N=[N+]([O-])c1nnc(N=[N+]=[N-])n1N.[*:2]N[N+](=O)[O-],1,95.8778,1.91137,136.225,0.896115,7.06895,0.393043,0.0578667,0.734681,0.143887,0.320047,1.02437,0.277414,-9.82204,-0.0960478
3240,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N=[N+]=[N-])c1[*:2],azole_ring,azide,2,25109788,9,458,azide:9;azo:9;azole_ring:9;nitro:3,[*:2]N=Nc1c(N=[N+]=[N-])nnn1[N+](=O)[O-].[*:1]N=[N+]=[N-],1,127.859,2.54893,256.777,1.68913,11.4229,0.635128,0.166267,2.11094,0.41606,0.925443,2.79,0.75557,-6.47758,-0.063343
3240,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnn(N=[N+]=[N-])c1[*:2],azole_ring,azide,2,72168723,9,458,nitramine:9;nitro:9;hydrazo:9;azole_ring:9,[*:1]NNc1c(C)nnn1O.[*:2]N[N+](=O)[O-],1,133.023,2.65189,245.852,1.61727,9.1263,0.507434,0.157367,1.99794,0.35748,0.795141,2.51276,0.680489,-9.51114,-0.0930076
2467,[*:1]c1nc(C)nn1[*:2],[*:1]c1nnc(C)n1[*:2],azole_ring,azole_ring,2,18207,9,457,azo:9;azole_ring:9;hydroxyl:4;nitro:3,[*:2]C.[*:1]N=Nc1c(N)nnn1[N+](=O)[O-],1,6.80778,0.135716,28.2275,0.185687,0,0,0.0235333,0.298782,0.0727625,0.161845,0.464109,0.125687,-33.1654,-0.324318
2467,[*:1]c1nc(C)nn1[*:2],[*:1]c1nnc(C)n1[*:2],azole_ring,azole_ring,2,26228,9,457,azo:9;azole_ring:9;amino:4;nitro:3,[*:1]C.[*:2]N=Nc1c(O)nnn1C,1,7.65222,0.152551,32.2414,0.212091,0,0,0.0280333,0.355914,0.0805141,0.179087,0.505234,0.136824,-18.9682,-0.185486
2609,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nn(O)nc1[*:2],azole_ring,azole_ring,2,25079958,9,457,azo:9;azole_ring:9;hydroxyl:9;azide:4,[*:2]N=Nc1c(N=[N+]=[N-])nnn1N[N+](=O)[O-].[*:1]O,1,13.9867,0.278831,54.7131,0.359914,0,0,0.0385889,0.489929,0.0866628,0.192764,0.633774,0.171634,6.53153,0.0638706
2609,[*:1]c1nc([*:2])n(O)n1,[*:1]c1nn(O)nc1[*:2],azole_ring,azole_ring,2,72984085,9,457,nitramine:9;nitro:9;hydrazo:9;azole_ring:9,[*:2]NNc1nc(N[N+](=O)[O-])n[nH]1.[*:1]N[N+](=O)[O-],1,14.0511,0.280116,47.9388,0.315352,0,0,0.0362667,0.460445,0.0818168,0.181985,0.649578,0.175914,11.1372,0.108909
3241,[*:1]c1nnc([*:2])n1O,[*:1]c1nnn(N=[N+]=[N-])c1[*:2],azole_ring,azide,2,25035499,9,457,nitramine:9;nitro:9;azo:9;azole_ring:9,[*:2]N=Nc1c(N=[N+]=[N-])nnn1C.[*:1]N[N+](=O)[O-],1,117.888,2.35015,85.2245,0.560625,0.80719,0.0448808,0.0645,0.818899,0.060304,0.134134,0.157032,0.0425263,-14.5022,-0.141814
454,[*:1]c1nn[nH]c1[*:2],[*:1]c1nnc([*:2])n1[N+](=O)[O-],azole_ring,nitro,2,72680122,9,456,nitramine:9;nitro:9;hydrazo:9;azole_ring:9,[*:1]NNc1n[nH]nc1O.[*:2]N[N+](=O)[O-],1,15.9756,0.318481,144.39,0.949831,19.1003,1.062,0.0552111,0.700966,0.447639,0.995683,3.96506,1.07379,-16.3111,-0.159503
105,[*:1]c1nc(C)n([*:2])n1,[*:1]c1nnn([*:2])n1,azole_ring,azole_ring,2,42827806,9,455,azide:9;azoxy:9;azole_ring:9;nitro:6,[*:1]N=[N+]([O-])c1c(N[N+](=O)[O-])nnn1C.[*:2]N=[N+]=[N-],1,46.1,0.919026,193.613,1.27363,28.155,1.56545,0.132233,1.67885,0.827295,1.84015,7.17433,1.9429,46.8895,0.458523
