fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]c1nc([*:2])n([N+](=O)[O-])n1,nitro,linker,2,8,41992,3182,-13.0178,36.9546,41992,0.395051,-72.1861,88.6456,120.625,41992,0.708516,150.592,15.2365,13.3687,41992,0.829182,233.551,0.0108326,0.062125,41992,0.516527,35.7313,0.310573,0.333335,41992,0.763431,190.926,2.73337,2.73292,41992,0.791198,204.954,-19.4856,92.1307,41992,0.41496,-43.3403
[*:1]c1nc(C)n([*:2])n1,azole_ring,linker,2,6,41842,3009,-30.5005,36.5295,41842,0.169782,-170.793,-168.474,122.053,41842,0.0509058,-282.352,-23.4818,13.2637,41842,0,-362.136,-0.0850204,0.0649703,41842,0.0842933,-267.679,-0.651812,0.330606,41842,0.0343674,-403.291,-5.28244,2.70095,41842,0.0361837,-400.06,43.9106,122.211,41842,0.671072,73.4964
[*:1]c1nc(C)nn1[*:2],azole_ring,linker,2,6,41823,3006,-29.179,36.3779,41823,0.180499,-164.037,-164.243,122.857,41823,0.0605887,-273.398,-23.5396,13.1652,41823,0,-365.663,-0.0820463,0.0653897,41823,0.0963346,-256.6,-0.655277,0.327298,41823,0.031179,-409.439,-5.33877,2.68719,41823,0.0305095,-406.303,34.3719,109.614,41823,0.653564,64.1276
[*:1]c1nc([*:2])n(N[N+](=O)[O-])n1,nitramine,linker,2,9,41687,3098,-0.0603302,36.1252,41687,0.583851,-0.340977,68.3446,117.187,41687,0.64327,119.077,14.2063,13.3742,41687,0.740087,216.878,0.0311057,0.059277,41687,0.648548,107.14,0.308742,0.32999,41687,0.765466,191.027,2.58899,2.71196,41687,0.77084,194.916,-48.8773,95.5298,41687,0.27042,-104.464
[*:1]c1nnn([*:2])n1,azole_ring,linker,2,5,41666,9799,5.7861,37.786,41666,0.638146,31.2569,32.9284,114.064,41666,0.576201,58.9267,5.86011,12.812,41666,0.548433,93.364,0.0391662,0.0766335,41666,0.696851,104.324,0.143494,0.346738,41666,0.585009,84.4742,1.03748,2.75925,41666,0.579537,76.7501,-17.1306,89.4427,41666,0.408103,-39.0948
[*:1]c1nc(N)n([*:2])n1,azole_ring,linker,2,6,40975,2998,-23.8316,37.0798,40975,0.245686,-130.1,-153.856,117.173,40975,0.0761196,-265.795,-7.79486,12.9037,40975,0.199341,-122.28,-0.0650481,0.0638918,40975,0.158731,-206.086,-0.189896,0.327299,40975,0.232776,-117.444,-1.39904,2.66177,40975,0.251202,-106.395,20.2505,96.4194,40975,0.611568,42.5139
[*:1]c1nc(N)nn1[*:2],azole_ring,linker,2,6,40507,2954,-21.2923,37.0753,40507,0.276421,-115.585,-144.022,118.459,40507,0.0993162,-244.695,-7.75663,12.9255,40507,0.201323,-120.779,-0.0580027,0.0646049,40507,0.189547,-180.696,-0.204255,0.328479,40507,0.216827,-125.15,-1.58579,2.66724,40507,0.22369,-119.659,16.6216,89.9744,40507,0.606389,37.1808
[*:1]c1nc(N=[N+]=[N-])n([*:2])n1,azide,linker,2,8,39995,2958,60.725,36.4909,39995,0.87871,332.802,11.335,110.976,39995,0.504163,20.4266,3.28648,12.9349,39995,0.502713,50.8125,-0.00262594,0.0598883,39995,0.44058,-8.76891,0.00407913,0.326959,39995,0.465133,2.49504,-0.124822,2.67502,39995,0.448831,-9.33185,33.1629,104.032,39995,0.657232,63.7511
[*:1]c1nc(N=[N+]=[N-])nn1[*:2],azide,linker,2,8,39891,2946,61.3666,36.5205,39891,0.881377,335.608,12.093,111.46,39891,0.508711,21.6696,3.33316,12.9617,39891,0.509564,51.3607,-0.00275502,0.0599644,39891,0.443759,-9.17632,0.00400966,0.327305,39891,0.464942,2.44677,-0.125838,2.68399,39891,0.449801,-9.36412,-15.4517,95.9357,39891,0.439974,-32.1687
[*:1]c1nc(O)n([*:2])n1,azole_ring,linker,2,6,39416,2999,-60.6171,35.7416,39416,0.0110869,-336.711,-108.256,112.84,39416,0.182337,-190.471,2.09866,12.9665,39416,0.448194,32.1332,-0.0959313,0.0618461,39416,0.055891,-307.953,-0.108002,0.333577,39416,0.346382,-64.2791,-0.510303,2.72277,39416,0.399178,-37.2094,-16.2447,93.4897,39416,0.441724,-34.4973
