fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]c1nnn([*:2])c1O,azole_ring,linker,2,6,31006,2997,-39.1986,36.7199,31006,0.102464,-187.971,-22.7823,117.03,31006,0.420048,-34.2785,2.05057,13.1026,31006,0.443076,27.5576,-0.0328567,0.062605,31006,0.292556,-92.414,0.0225101,0.33659,31006,0.502774,11.776,0.371477,2.7418,31006,0.534284,23.8572,-6.24072,95.0013,31006,0.48739,-11.5672
[*:1]c1nnn([*:2])c1N=[N+]=[N-],azide,linker,2,8,30725,2935,82.9572,35.7283,30725,0.96153,406.994,90.4391,114.324,30725,0.75795,138.665,3.37781,13.0512,30725,0.503271,45.366,0.0550751,0.0637495,30725,0.802116,151.434,0.114683,0.336435,30725,0.601269,59.7509,0.630911,2.71867,30725,0.577152,40.6778,16.8574,93.0326,30725,0.603678,31.7615
[*:1]c1nnn([*:2])c1[N+](=O)[O-],nitro,linker,2,8,29664,2906,8.07385,36.5397,29664,0.715682,38.0566,161.643,122.339,29664,0.970503,227.566,15.5851,13.3975,29664,0.840918,200.355,0.0609824,0.0623348,29664,0.855819,168.496,0.406011,0.335468,29664,0.929072,208.45,3.41478,2.7378,29664,0.924757,214.821,-37.8902,91.3681,29664,0.29551,-71.4245
[*:1]c1nnn([*:2])c1N[N+](=O)[O-],nitramine,linker,2,9,29660,2845,14.4766,36.0417,29660,0.787626,69.1745,117.483,120.393,29660,0.840121,168.058,14.493,13.3934,29660,0.752225,186.361,0.0662264,0.0603332,29660,0.890357,189.043,0.398381,0.333111,29660,0.919285,205.966,3.30924,2.7205,29660,0.910452,209.491,-49.0312,94.2407,29660,0.265172,-89.6025
[*:1]O,hydroxyl,substituent,1,1,29565,21144,-55.061,31.6795,29565,0,-298.85,-61.7233,107.827,29565,0.355589,-98.4264,2.97921,14.3703,29565,0.547032,35.647,-0.0650461,0.0450737,29565,0.0709623,-248.134,-0.0224379,0.348477,29565,0.502317,-11.0713,0.123385,2.88778,29565,0.554236,7.34662,-13.2596,88.0578,29565,0.43078,-25.8912
[*:1]c1nnn(C)c1[*:2],azole_ring,linker,2,6,29328,3246,-25.6509,36.3458,29328,0.237009,-120.862,-147.719,118.889,29328,0.104133,-212.783,-23.3896,13.2738,29328,0,-301.764,-0.0695025,0.0620581,29328,0.149379,-191.798,-0.608755,0.333691,29328,0.0760366,-312.421,-5.00806,2.74964,29328,0.0782529,-311.914,52.8651,109.986,29328,0.713073,82.3136
[*:1]c1nnn(N)c1[*:2],azole_ring,linker,2,6,28891,3259,4.4941,36.6772,28891,0.66834,20.827,-42.1951,114.011,28891,0.387249,-62.9065,-7.46842,12.896,28891,0.203351,-98.436,0.0220293,0.0615168,28891,0.606763,60.8678,-0.0293082,0.330738,28891,0.435568,-15.0621,-0.389637,2.69091,28891,0.415423,-24.6117,5.90959,93.0627,28891,0.556402,10.7935
[*:2]c1nnnn1[*:1],azole_ring,linker,2,5,28056,7870,7.6084,40.5505,28056,0.662176,31.4275,45.3878,119.075,28056,0.65159,63.8458,5.9525,12.6175,28056,0.565084,79.0204,0.0459787,0.0863271,28056,0.738202,89.2118,0.162392,0.352314,28056,0.641859,77.2053,1.20106,2.78634,28056,0.624323,72.2013,-9.1278,90.9076,28056,0.447248,-16.8182
[*:1]c1nnn(N=[N+]=[N-])c1[*:2],azide,linker,2,8,27722,3189,90.6509,35.9101,27722,0.993254,420.308,118.084,115.058,27722,0.869346,170.878,3.24786,12.8908,27722,0.50018,41.9497,0.0760303,0.0666206,27722,0.914761,190.016,0.157396,0.339131,27722,0.654138,77.2751,0.939547,2.72723,27722,0.625316,57.36,28.681,97.1987,27722,0.651252,49.1299
[*:1]c1nnn(O)c1[*:2],azole_ring,linker,2,6,27366,3219,-18.6546,36.0515,27366,0.314405,-85.5986,54.3388,113.507,27366,0.625411,79.1941,1.98633,12.8619,27366,0.441314,25.5478,0.0243637,0.061132,27366,0.603705,65.9296,0.129436,0.328646,27366,0.634145,65.1526,1.08564,2.68525,27366,0.641891,66.8816,-22.2944,94.0928,27366,0.412629,-39.1963
[*:1]c1nnn([N+](=O)[O-])c1[*:2],nitro,linker,2,8,26977,3183,8.55103,36.5059,26977,0.722764,38.4727,165.337,126.431,26977,0.972718,214.79,15.4584,13.3768,26977,0.832413,189.805,0.0639563,0.0635497,26977,0.863847,165.298,0.409443,0.336003,26977,0.932461,200.146,3.42409,2.73685,26977,0.92527,205.49,-31.4833,92.2677,26977,0.348742,-56.0437
[*:1]c1nnn(N[N+](=O)[O-])c1[*:2],nitramine,linker,2,9,26885,3090,20.045,35.0645,26885,0.834815,93.7332,132.651,121.585,26885,0.895258,178.89,14.2027,13.3348,26885,0.738144,174.638,0.0782284,0.0616217,26885,0.943872,208.154,0.39625,0.334392,26885,0.912553,194.298,3.21393,2.72659,26885,0.890571,193.273,-60.5543,94.1133,26885,0.210266,-105.499
[*:1]c1nnc([*:2])n1N,azole_ring,linker,2,6,24796,3219,-4.51331,36.0837,24796,0.50734,-19.6959,-78.6505,114.676,24796,0.269761,-107.999,-7.26117,12.9631,24796,0.211486,-88.2037,-0.00674991,0.0601249,24796,0.434344,-17.678,-0.0546581,0.327555,24796,0.409824,-26.2761,-0.46518,2.6847,24796,0.41059,-27.2845,37.4199,98.7103,24796,0.667567,59.694
[*:1]c1nn(O)nc1[*:2],azole_ring,linker,2,6,24669,3215,-22.9183,36.3203,24669,0.253111,-99.1079,39.9462,115.395,24669,0.578135,54.3705,2.43793,13.0583,24669,0.454984,29.3232,0.0127618,0.0620178,24669,0.522275,32.3201,0.102192,0.332097,24669,0.608578,48.3311,0.864411,2.70715,24669,0.618144,50.1516,-39.8168,93.6049,24669,0.336495,-66.8104
[*:1]c1nnc([*:2])[nH]1,azole_ring,linker,2,5,24521,3191,-33.0198,36.3705,24521,0.151258,-142.165,-122.919,115.884,24521,0.149872,-166.098,-7.59091,13.2337,24521,0.208597,-89.8219,-0.0847793,0.0627642,24521,0.0875168,-211.518,-0.226566,0.337544,24521,0.199584,-105.108,-1.56938,2.73179,24521,0.233433,-89.9603,19.8116,96.999,24521,0.595204,31.9832
[*:1]c1nn(C)nc1[*:2],azole_ring,linker,2,6,24417,3180,-28.4619,35.9258,24417,0.194864,-123.795,-159.892,119.247,24417,0.065651,-209.519,-23.1265,13.4414,24417,0,-268.85,-0.079849,0.0630467,24417,0.105214,-197.903,-0.636468,0.336101,24417,0.0446001,-295.906,-5.17972,2.76524,24417,0.0451734,-292.698,58.3846,119.045,24417,0.713642,76.6361
[*:1]c1nnc([*:2])n1O,azole_ring,linker,2,6,24359,3177,-29.5731,36.2244,24359,0.175623,-127.416,13.4153,113.225,24359,0.518576,18.4922,2.30946,12.9478,24359,0.455766,27.8383,-0.00690702,0.0604594,24359,0.422719,-17.8302,0.101684,0.329423,24359,0.613367,48.1756,0.998411,2.69737,24359,0.638245,57.7696,19.5905,97.4712,24359,0.609426,31.3688
[*:1]c1nnc([*:2])n1C,azole_ring,linker,2,6,24347,3188,-35.0997,36.3486,24347,0.13554,-150.674,-184.138,121.434,24347,0.0342958,-236.606,-23.0239,13.4023,24347,0,-268.054,-0.0990509,0.0640115,24347,0.0552019,-241.448,-0.632406,0.334575,24347,0.0515875,-294.935,-5.02985,2.73241,24347,0.0638272,-287.231,53.3426,123.064,24347,0.695199,67.6339
[*:1]c1nnc([*:2])n1N=[N+]=[N-],azide,linker,2,8,24332,3149,81.408,35.9754,24332,0.951956,352.98,89.4404,113.75,24332,0.748315,122.651,4.00742,13.0824,24332,0.527823,47.7824,0.0531286,0.0635515,24332,0.787276,130.404,0.14311,0.336191,24332,0.646803,66.4007,0.913297,2.71622,24332,0.631637,52.4489,33.3249,100.196,24332,0.656913,51.8807
[*:1]c1nn(N)nc1[*:2],azole_ring,linker,2,6,24258,3192,2.03943,36.3166,24258,0.617487,8.74646,-52.8336,115.095,24258,0.358232,-71.496,-7.21172,13.0973,24258,0.216547,-85.7603,0.0142801,0.0611654,24258,0.552478,36.3625,-0.0531586,0.331165,24258,0.411163,-25.001,-0.591652,2.69878,24258,0.391706,-34.145,-0.971816,93.3957,24258,0.522961,-1.62063
[*:1]c1nnc([*:2])n1[N+](=O)[O-],nitro,linker,2,8,23970,3133,-1.62695,36.4907,23970,0.56262,-6.90281,128.334,122.684,23970,0.862703,161.953,15.735,13.5152,23970,0.833751,180.251,0.0391322,0.0628248,23970,0.703212,96.4355,0.391153,0.337851,23970,0.888486,179.249,3.37451,2.75148,23970,0.902795,189.88,-6.0861,89.2327,23970,0.479182,-10.5596
[*:1]c1nn(N=[N+]=[N-])nc1[*:2],azide,linker,2,8,23898,3097,86.3007,36.4984,23898,0.969119,365.528,107.492,115.962,23898,0.807306,143.299,3.94806,13.0413,23898,0.522052,46.7996,0.0672433,0.066048,23898,0.85798,157.387,0.150146,0.338714,23898,0.650808,68.527,0.89883,2.7357,23898,0.625785,50.7914,28.099,107.424,23898,0.636288,40.4363
[*:1]c1nn([N+](=O)[O-])nc1[*:2],nitro,linker,2,8,23890,3100,1.70994,36.4771,23890,0.616702,7.24552,140.29,124.306,23890,0.900921,174.438,15.8332,13.4283,23890,0.837756,182.246,0.047404,0.0632196,23890,0.75743,115.897,0.376513,0.3388,23890,0.854625,171.769,3.16304,2.76337,23890,0.854751,176.919,-34.0002,93.0903,23890,0.337882,-56.4527
[*:1]c1n[nH]nc1[*:2],azole_ring,linker,2,5,23843,3102,-21.6236,36.2822,23843,0.270687,-92.027,-79.3362,117.208,23843,0.279118,-104.519,-7.73041,13.4456,23843,0.205721,-88.7776,-0.0502053,0.0616717,23843,0.21457,-125.703,-0.184179,0.336482,23843,0.244852,-84.5199,-1.37564,2.73349,23843,0.261586,-77.7081,-25.0696,95.1032,23843,0.399656,-40.7035
[*:1]c1nnc([*:2])n1N[N+](=O)[O-],nitramine,linker,2,9,23797,3057,8.2338,36.3843,23797,0.712737,34.9098,98.7183,118.803,23797,0.764508,128.183,14.5747,13.3464,23797,0.747783,168.461,0.0524329,0.0604116,23797,0.796781,133.889,0.376517,0.330331,23797,0.870026,175.831,3.15515,2.69943,23797,0.869395,180.305,-28.1605,93.5261,23797,0.366517,-46.4481
[*:1]c1nn(N[N+](=O)[O-])nc1[*:2],nitramine,linker,2,9,23368,3009,15.0962,35.8889,23368,0.790226,64.3011,119.826,120.356,23368,0.836743,152.193,14.4823,13.2567,23368,0.74632,166.999,0.0685051,0.0611242,23368,0.88741,171.325,0.373032,0.329956,23368,0.863874,172.822,3.01974,2.6956,23368,0.842306,171.248,-63.7236,95.2877,23368,0.196251,-102.229
[*:2]c1nnn([*:1])n1,azole_ring,linker,2,5,22393,6069,4.43982,42.56,22393,0.633278,15.6106,36.0901,123.023,22393,0.615817,43.8991,5.96309,13.0226,22393,0.601617,68.5217,0.0390668,0.0917987,22393,0.706783,63.6836,0.14639,0.365873,22393,0.602733,59.8737,1.07409,2.8548,22393,0.593266,56.3019,-14.9318,93.9938,22393,0.419283,-23.7722
[*:2]c1nnn([N+](=O)[O-])c1[*:1],nitro,linker,2,8,20572,2968,9.09521,36.6411,20572,0.726327,35.6026,170.175,127.287,20572,0.962084,191.757,16.1446,13.615,20572,0.836768,170.078,0.0661644,0.0632495,20572,0.862337,150.039,0.426813,0.336768,20572,0.927571,181.779,3.56042,2.74159,20572,0.921495,186.267,-28.5742,95.5294,20572,0.363407,-42.9018
[*:2]c1nnn(O)c1[*:1],azole_ring,linker,2,6,20379,2975,-17.5764,37.0272,20379,0.32087,-67.7642,63.9531,116.177,20379,0.659306,78.5835,2.85102,13.1488,20379,0.476127,30.9531,0.0297675,0.0631987,20379,0.640561,67.2397,0.156395,0.33373,20379,0.670347,66.899,1.29508,2.71969,20379,0.67967,67.9779,-23.3298,97.0576,20379,0.409539,-34.3141
[*:2]c1nnn(N=[N+]=[N-])c1[*:1],azide,linker,2,8,19447,2959,92.4223,36.1607,19447,0.990127,356.424,133.68,114.762,19447,0.893917,162.44,4.73912,13.2092,19447,0.548619,50.0321,0.0849774,0.0664461,19447,0.940351,178.345,0.204266,0.340837,19447,0.715894,83.575,1.31829,2.74419,19447,0.689772,66.9918,26.1011,102.644,19447,0.62822,35.4612
[*:2]c1nnn(N)c1[*:1],azole_ring,linker,2,6,19433,3037,7.73965,35.6247,19433,0.711727,30.2859,-27.0919,111.866,19433,0.437709,-33.7608,-6.16851,13.2908,19433,0.239695,-64.699,0.0319458,0.0599221,19433,0.677816,74.3184,0.0170285,0.333287,19433,0.509751,7.12242,-0.0253622,2.71974,19433,0.487933,-1.29996,4.83876,98.7911,19433,0.551485,6.82789
[*:2]c1nnn(N[N+](=O)[O-])c1[*:1],nitramine,linker,2,9,19258,2843,20.2237,36.7577,19258,0.826877,76.3518,144.097,122.056,19258,0.913802,163.833,15.3772,13.4766,19258,0.760359,158.345,0.0840728,0.0615564,19258,0.948697,189.534,0.43091,0.334626,19258,0.924914,178.703,3.49656,2.73321,19258,0.903624,177.53,-63.0205,95.8408,19258,0.214404,-91.2508
[*:2]c1nnn(C)c1[*:1],azole_ring,linker,2,6,18808,2985,-22.169,35.6823,18808,0.250532,-85.205,-136.454,117.032,18808,0.104424,-159.902,-22.6322,13.5097,18808,0,-229.748,-0.0605175,0.0605954,18808,0.155997,-136.966,-0.570476,0.331657,18808,0.073054,-235.895,-4.68877,2.74859,18808,0.0788494,-233.949,50.2111,114.795,18808,0.695608,59.9855
[*:2]c1nnn([*:1])c1O,azole_ring,linker,2,6,15712,2647,-35.168,36.9451,15712,0.141739,-119.318,-4.93799,116.331,15712,0.482561,-5.32072,3.28431,13.1882,15712,0.500255,31.2158,-0.0205227,0.0632667,15712,0.361634,-40.6607,0.0683469,0.329831,15712,0.598142,25.9743,0.721999,2.6982,15712,0.626718,33.5412,-8.18961,99.5815,15712,0.473905,-10.3086
[*:2]c1nnn([*:1])c1[N+](=O)[O-],nitro,linker,2,8,15398,2548,11.9224,37.2526,15398,0.745811,39.7135,179.387,125.868,15398,0.962852,176.851,16.3431,13.3986,15398,0.838745,151.358,0.073292,0.0640714,15398,0.893558,141.947,0.441154,0.328942,15398,0.933758,166.419,3.66593,2.68473,15398,0.927004,169.44,-37.9651,95.2366,15398,0.309131,-49.4667
[*:2]c1nncn1[*:1],azole_ring,linker,2,5,15144,2764,-3.60422,35.9219,15144,0.518489,-12.3473,-8.41717,117.835,15144,0.499472,-8.79049,-7.08432,13.2431,15144,0.205692,-65.8309,0.0035925,0.0636121,15144,0.511688,6.94987,-0.135842,0.328456,15144,0.305732,-50.8952,-1.24649,2.6689,15144,0.280375,-57.4747,35.5788,106.714,15144,0.652866,41.0288
[*:2]c1nnn([*:1])c1N=[N+]=[N-],azide,linker,2,8,14937,2583,86.3357,36.6689,14937,0.971614,287.756,111.927,114.884,14937,0.831492,119.072,5.12655,13.2223,14937,0.567249,47.386,0.0694843,0.065393,14937,0.874473,129.864,0.177701,0.333069,14937,0.706434,65.2059,1.13022,2.6823,14937,0.682466,51.4974,12.4729,99.3297,14937,0.576287,15.3469
[*:2]c1nnn([*:1])c1N,azole_ring,linker,2,6,14897,2653,2.18562,36.0803,14897,0.617238,7.39355,-50.786,115.533,14897,0.3592,-53.6522,-5.9987,13.2673,14897,0.254279,-55.1853,0.0144955,0.0637376,14897,0.574075,27.7579,-0.00143154,0.328649,14897,0.501913,-0.531645,-0.0976911,2.67416,14897,0.493455,-4.4588,13.7553,99.8877,14897,0.575351,16.8076
[*:2]c1nnc([N+](=O)[O-])n1[*:1],nitro,linker,2,8,14772,2744,3.79036,36.9856,14772,0.648998,12.4557,149.126,123.754,14772,0.919171,146.459,16.1622,13.4399,14772,0.838411,146.159,0.0527878,0.0630765,14772,0.80612,101.715,0.407841,0.330743,14772,0.897306,149.872,3.44659,2.70217,14772,0.896832,155.023,-30.8396,93.706,14772,0.332859,-40.0001
[*:2]c1nnn([*:1])c1N[N+](=O)[O-],nitramine,linker,2,9,14597,2500,17.8059,36.8791,14597,0.803795,58.3334,136.814,121.197,14597,0.890457,136.387,15.6834,13.5171,14597,0.761732,140.18,0.0787434,0.0613744,14597,0.924779,155.01,0.444715,0.328801,14597,0.93944,163.41,3.66533,2.68452,14597,0.928273,164.96,-51.6302,98.6531,14597,0.271837,-63.2302
[*:2]c1nnn([*:1])c1C,azole_ring,linker,2,6,14495,2613,-7.03438,35.8431,14495,0.46554,-23.6281,-78.5841,118.732,14495,0.277613,-79.6847,-22.2861,13.6929,14495,0,-195.951,-0.0138834,0.0638161,14495,0.39724,-26.1923,-0.489536,0.334542,14495,0.119007,-176.175,-4.21261,2.75763,14495,0.117765,-183.918,38.4137,111.38,14495,0.658848,41.5228
[*:2]c1nnc(O)n1[*:1],azole_ring,linker,2,6,14411,2806,-45.6638,36.8445,14411,0.0650198,-148.78,-43.4101,113.102,14411,0.363195,-46.0751,3.38113,13.0234,14411,0.506211,31.1663,-0.0495552,0.0624141,14411,0.207342,-95.3132,0.0157941,0.330268,14411,0.530706,5.74084,0.389486,2.69084,14411,0.574908,17.376,7.75701,100.609,14411,0.542502,9.25563
[*:2]c1nnc(N)n1[*:1],azole_ring,linker,2,6,13745,2832,-5.4564,35.7519,13745,0.493925,-17.8929,-81.7919,118.023,13745,0.262204,-81.2488,-5.76398,13.1895,13745,0.258712,-51.2348,-0.0117527,0.0640335,13745,0.42379,-21.5181,-0.0430795,0.331374,13745,0.44307,-15.2414,-0.335663,2.69765,13745,0.451801,-14.5878,40.2926,106.472,13745,0.671735,44.3672
[*:2]c1nnc(N=[N+]=[N-])n1[*:1],azide,linker,2,8,13640,2755,75.1361,36.1778,13640,0.933504,242.557,71.1182,113.379,13640,0.711217,73.2582,5.09918,13.0744,13640,0.571261,45.5497,0.0384376,0.0620538,13640,0.715029,72.3427,0.12716,0.331053,13640,0.651173,44.8602,0.821884,2.69908,13640,0.633724,35.5633,33.6389,99.199,13640,0.662097,39.6043
[*:2]c1nnc(N[N+](=O)[O-])n1[*:1],nitramine,linker,2,9,13494,2669,8.65515,36.9461,13494,0.723359,27.213,108.553,118.402,13494,0.814881,106.501,15.7415,13.3851,13494,0.768638,136.614,0.0578126,0.0601036,13494,0.841633,111.736,0.41246,0.326868,13494,0.896843,146.582,3.46457,2.6874,13494,0.893879,149.757,-36.0164,94.9118,13494,0.329628,-44.081
[*:2]c1nn[nH]c1[*:1],azole_ring,linker,2,5,13329,2987,-14.5752,35.841,13329,0.349989,-46.9499,-53.0282,114.027,13329,0.345787,-53.6904,-7.17707,13.263,13329,0.199265,-62.4747,-0.0289506,0.0599433,13329,0.302948,-55.759,-0.118508,0.327698,13329,0.326206,-41.7514,-0.874433,2.66995,13329,0.349239,-37.8113,-8.8773,97.6707,13329,0.470253,-10.4934
[*:2]c1nnc(C)n1[*:1],azole_ring,linker,2,6,13233,2828,-15.7705,35.8269,13233,0.337112,-50.6367,-110.639,119.222,13233,0.178493,-106.753,-21.9138,13.3093,13233,0,-189.406,-0.0417578,0.0640624,13233,0.250057,-74.983,-0.5248,0.332178,13233,0.096879,-181.741,-4.38205,2.74141,13233,0.0998262,-183.879,52.5218,123.465,13233,0.687372,48.9354
[*:2]c1nn([*:1])nc1[N+](=O)[O-],nitro,linker,2,8,12477,2766,6.70277,37.0302,12477,0.686944,20.2187,158.163,123.943,12477,0.941011,142.54,16.2249,13.4281,12477,0.842751,134.965,0.0602962,0.0642591,12477,0.845476,104.812,0.407938,0.331188,12477,0.89677,137.586,3.39192,2.6895,12477,0.888034,140.874,-25.4944,92.7159,12477,0.362828,-30.7147
[*:2]c1nn([*:1])nc1O,azole_ring,linker,2,6,12058,2769,-39.1595,36.8093,12058,0.112374,-116.82,-18.4882,112.399,12058,0.423951,-18.0621,3.25588,12.885,12058,0.50199,27.7473,-0.0307802,0.0618556,12058,0.284044,-54.6425,0.0340765,0.325613,12058,0.550174,11.4919,0.444927,2.66285,12058,0.583347,18.3476,-16.5391,92.6906,12058,0.424863,-19.5936
[*:2]c1nn([*:1])nc1N=[N+]=[N-],azide,linker,2,8,11405,2779,81.2974,36.4388,11405,0.957212,238.265,95.4357,113.243,11405,0.790618,90.0007,5.38762,13.0023,11405,0.577992,44.2511,0.0566809,0.0644532,11405,0.820254,93.9161,0.146742,0.329493,11405,0.673564,47.5617,0.885313,2.66507,11405,0.646032,35.4761,13.7568,97.7562,11405,0.576589,15.0287
[*:2]c1nn([*:1])nc1N[N+](=O)[O-],nitramine,linker,2,9,11181,2615,13.2699,36.9152,11181,0.77417,38.0103,123.519,120.219,11181,0.862177,108.643,15.756,13.39,11181,0.769788,124.424,0.0691295,0.0608491,11181,0.897862,120.129,0.4276,0.3271,11181,0.92049,138.228,3.54728,2.67985,11181,0.90931,139.967,-36.8304,93.8317,11181,0.310258,-41.5047
[*:2]c1nn([*:1])nc1N,azole_ring,linker,2,6,11021,2804,0.996046,35.5528,11021,0.587515,2.94114,-54.9172,113.676,11021,0.33291,-50.7168,-5.48661,13.1093,11021,0.26631,-43.9373,0.00821675,0.0639512,11021,0.524,13.4885,-0.0275067,0.330617,11021,0.460757,-8.73421,-0.324824,2.69753,11021,0.455766,-12.6414,11.1787,90.1012,11021,0.573269,13.0249
[*:2]c1nn([*:1])nc1C,azole_ring,linker,2,6,10678,2792,-8.8945,35.9071,10678,0.435756,-25.5968,-84.0562,118.727,10678,0.262034,-73.1587,-21.8457,13.3923,10678,0,-168.561,-0.0189039,0.0648563,10678,0.367578,-30.1192,-0.50584,0.329713,10678,0.1062,-158.534,-4.34311,2.72799,10678,0.100955,-164.514,31.1638,108.728,10678,0.64263,29.6178
[*:2]c1ncnn1[*:1],azole_ring,linker,2,5,10215,2711,-10.7539,36.2157,10215,0.402252,-30.0114,-37.033,120.631,10215,0.392658,-31.0277,-7.01896,13.3329,10215,0.205091,-53.2067,-0.018951,0.0660433,10215,0.36838,-29.0016,-0.191495,0.333946,10215,0.227215,-57.9563,-1.642,2.68526,10215,0.212922,-61.8022,11.819,96.3216,10215,0.567792,12.4016
[*:2]c1ncn([*:1])n1,azole_ring,linker,2,5,9632,2654,-12.9343,36.9365,9632,0.378634,-34.3672,-45.4396,121.696,9632,0.370536,-36.6452,-7.37786,13.4085,9632,0.215947,-54.0018,-0.0236671,0.06621,9632,0.343439,-35.0816,-0.199335,0.33202,9632,0.210133,-58.9222,-1.68248,2.66861,9632,0.193418,-61.8762,21.4284,105.289,9632,0.606312,19.9741
[*:2]c1nc([N+](=O)[O-])nn1[*:1],nitro,linker,2,8,9339,2747,-6.34935,37.8626,9339,0.486348,-16.2058,118.056,125.951,9339,0.833494,90.5813,16.3136,13.4681,9339,0.84463,117.056,0.0298432,0.0650752,9339,0.646429,44.318,0.364265,0.331036,9339,0.838527,106.339,3.12872,2.68788,9339,0.847949,112.488,-20.491,94.2427,9339,0.403362,-21.012
[*:2]c1nc(O)nn1[*:1],azole_ring,linker,2,6,9056,2794,-54.3843,37.4958,9056,0.0310292,-138.025,-72.7658,116.617,9056,0.281471,-59.379,3.79738,12.8911,9056,0.511263,28.0326,-0.0736397,0.0672673,9056,0.153379,-104.178,-0.0480127,0.333224,9056,0.424801,-13.7116,-0.0908407,2.68074,9056,0.481007,-3.22474,-17.7198,92.1419,9056,0.403269,-18.3008
[*:2]c1nc([N+](=O)[O-])n([*:1])n1,nitro,linker,2,8,8839,2626,-2.36918,38.1,8839,0.542708,-5.84622,134.194,126.524,8839,0.883132,99.7155,16.7523,13.4211,8839,0.870008,117.351,0.0405141,0.0662331,8839,0.71456,57.5086,0.379706,0.33364,8839,0.850209,106.997,3.20549,2.70471,8839,0.851114,111.423,-32.8696,93.9115,8839,0.315873,-32.9062
[*:2]c1nc(O)n([*:1])n1,azole_ring,linker,2,6,8448,2678,-58.1038,36.9118,8448,0.0125473,-144.682,-78.163,116.71,8448,0.270478,-61.556,4.1836,13.1452,8448,0.538826,29.2523,-0.0798663,0.0652043,8448,0.126065,-112.581,-0.035503,0.338513,8448,0.438802,-9.63977,0.0684718,2.73672,8448,0.509115,2.29963,-16.2379,97.963,8448,0.439394,-15.2351
[*:1]NN[*:2],hydrazo,linker,2,2,8004,7509,-18.5677,7.23495,8004,0.00562219,-229.602,-115.554,66.5539,8004,0.00262369,-155.334,-10.1793,5.27065,8004,0,-172.785,0.000415942,0.0344065,8004,0.521739,1.08155,-0.179129,0.152889,8004,0.122189,-104.82,-1.66233,1.2777,8004,0.0810845,-116.397,-9.46213,83.6354,8004,0.46027,-10.1217
[*:1]N=[N+]([*:2])[O-],azoxy,linker,2,3,7907,7233,6.29562,11.9396,7907,0.61591,46.8874,126.463,64.7441,7907,0.99785,173.687,11.8926,4.4387,7907,0.999874,238.246,0.0332932,0.0281301,7907,0.889844,105.242,0.289094,0.0803933,7907,0.999241,319.761,2.50868,0.656195,7907,0.999368,339.953,0.121962,74.5353,7907,0.474896,0.145502
[*:1]N=N[*:2],azo,linker,2,2,7881,7386,12.5411,10.4423,7881,0.885421,106.618,-9.52239,89.8009,7881,0.505646,-9.4136,-1.59367,7.67637,7881,0.506281,-18.4303,-0.0338254,0.0254098,7881,0.0855221,-118.177,-0.108124,0.170404,7881,0.382819,-56.3289,-0.82869,1.49029,7881,0.424439,-49.3643,9.48744,74.4402,7881,0.565537,11.3144
[*:2]c1nc(N[N+](=O)[O-])nn1[*:1],nitramine,linker,2,9,7801,2615,-2.7965,36.4239,7801,0.572875,-6.78114,84.3949,123.293,7801,0.712857,60.458,16.9104,13.7216,7801,0.78554,108.849,0.0365053,0.0619292,7801,0.705038,52.0637,0.389952,0.336064,7801,0.847584,102.486,3.31624,2.7381,7801,0.853224,106.973,-33.1641,94.5647,7801,0.339187,-30.9752
[*:2]c1nc(N[N+](=O)[O-])n([*:1])n1,nitramine,linker,2,9,7450,2541,-3.37947,37.3127,7450,0.571946,-7.81755,88.144,124.505,7450,0.72255,61.1061,17.4417,13.4724,7450,0.813826,111.743,0.0379004,0.0626027,7450,0.712081,52.2551,0.409806,0.33455,7450,0.871007,105.729,3.50245,2.71831,7450,0.878389,111.212,-37.833,95.6291,7450,0.327517,-34.1475
[*:2]c1nc(N=[N+]=[N-])nn1[*:1],azide,linker,2,8,7312,2671,61.7347,36.4633,7312,0.874179,144.774,45.5462,118.036,7312,0.603392,32.9955,7.3435,12.9593,7312,0.625274,48.455,0.0128124,0.0635651,7312,0.524754,17.2358,0.113599,0.335461,7312,0.627188,28.9567,0.784849,2.71038,7312,0.622402,24.7613,-21.1087,94.8036,7312,0.406729,-19.0395
[*:2]c1nc(N=[N+]=[N-])n([*:1])n1,azide,linker,2,8,6983,2641,65.8917,34.6858,6983,0.894172,158.745,49.345,120.596,6983,0.613633,34.1926,7.62212,13.2796,6983,0.656738,47.9638,0.0158483,0.0651865,6983,0.545468,20.3163,0.121539,0.343145,6983,0.631104,29.5977,0.833662,2.76901,6983,0.623228,25.1586,27.5127,105.618,6983,0.630388,21.7679
[*:2]c1nc(N)nn1[*:1],azole_ring,linker,2,6,6726,2660,-14.6253,34.0289,6726,0.363515,-35.2481,-106.915,121.395,6726,0.215284,-72.2293,-3.06084,13.0108,6726,0.313708,-19.2936,-0.040406,0.0665773,6726,0.269848,-49.7735,-0.0825754,0.342529,6726,0.346714,-19.7711,-0.596541,2.78676,6726,0.365001,-17.5558,11.0482,90.1047,6726,0.563782,10.0559
