candidate_id,n_pairs,corr_Hf_Q,n_Hf_Q,corr_Hf_OBgood,n_Hf_OBgood,corr_Hf_Pe,n_Hf_Pe,corr_Hf_D,n_Hf_D,corr_Hf_P,n_Hf_P,corr_Hf_IS,n_Hf_IS,corr_Hf_nu,n_Hf_nu,corr_Q_OBgood,n_Q_OBgood,corr_Q_Pe,n_Q_Pe,corr_Q_D,n_Q_D,corr_Q_P,n_Q_P,corr_Q_IS,n_Q_IS,corr_Q_nu,n_Q_nu,corr_OBgood_Pe,n_OBgood_Pe,corr_OBgood_D,n_OBgood_D,corr_OBgood_P,n_OBgood_P,corr_OBgood_IS,n_OBgood_IS,corr_OBgood_nu,n_OBgood_nu,corr_Pe_D,n_Pe_D,corr_Pe_P,n_Pe_P,corr_Pe_IS,n_Pe_IS,corr_Pe_nu,n_Pe_nu,corr_D_P,n_D_P,corr_D_IS,n_D_IS,corr_D_nu,n_D_nu,corr_P_IS,n_P_IS,corr_P_nu,n_P_nu,corr_IS_nu,n_IS_nu
cand_014,2188,0.554131,2188,0.226908,2188,0.668049,2188,0.279248,2188,0.225887,2188,0.105898,2188,,0,0.791723,2188,0.755502,2188,0.78733,2188,0.76095,2188,-0.229206,2188,,0,0.559768,2188,0.970374,2188,0.97227,2188,-0.497897,2188,,0,0.674875,2188,0.623244,2188,-0.21955,2188,,0,0.996925,2188,-0.482459,2188,,0,-0.488555,2188,,0,,0
cand_015,3624,0.588291,3624,0.239714,3624,0.671939,3624,0.284357,3624,0.23453,3624,-0.0429876,3624,,0,0.777458,3624,0.85023,3624,0.783227,3624,0.755065,3624,-0.319364,3624,,0,0.670471,3624,0.980147,3624,0.979949,3624,-0.478368,3624,,0,0.742511,3624,0.700459,3624,-0.345792,3624,,0,0.997356,3624,-0.467512,3624,,0,-0.459685,3624,,0,,0
cand_016,1993,0.512708,1993,0.204902,1993,0.676762,1993,0.27343,1993,0.227895,1993,-0.00748518,1993,,0,0.829715,1993,0.724416,1993,0.812678,1993,0.789111,1993,-0.469408,1993,,0,0.537901,1993,0.966737,1993,0.967079,1993,-0.619215,1993,,0,0.671206,1993,0.629834,1993,-0.311066,1993,,0,0.997445,1993,-0.593046,1993,,0,-0.587227,1993,,0,,0
cand_017,3549,0.601287,3549,0.23877,3549,0.676952,3549,0.304628,3549,0.25573,3549,0.00544133,3549,,0,0.766625,3549,0.859205,3549,0.792526,3549,0.763356,3549,-0.290742,3549,,0,0.635527,3549,0.974174,3549,0.975188,3549,-0.473346,3549,,0,0.734243,3549,0.691416,3549,-0.307839,3549,,0,0.997306,3549,-0.449364,3549,,0,-0.443296,3549,,0,,0
cand_018,380,0.731607,380,0.370555,380,0.872478,380,0.525504,380,0.465192,380,-0.0566851,380,,0,0.767189,380,0.831613,380,0.808139,380,0.775825,380,-0.329703,380,,0,0.557875,380,0.957805,380,0.967577,380,-0.499322,380,,0,0.725562,380,0.668863,380,-0.252793,380,,0,0.995542,380,-0.47102,380,,0,-0.474037,380,,0,,0
cand_019,3586,0.593011,3586,0.24022,3586,0.670863,3586,0.294444,3586,0.244191,3586,0.0175127,3586,,0,0.768633,3586,0.857732,3586,0.78552,3586,0.756937,3586,-0.318465,3586,,0,0.660344,3586,0.978555,3586,0.979165,3586,-0.533162,3586,,0,0.743379,3586,0.700709,3586,-0.328706,3586,,0,0.997267,3586,-0.524042,3586,,0,-0.521217,3586,,0,,0
cand_020,103,0.574079,103,0.358271,103,0.859184,103,0.578603,103,0.529855,103,-0.112856,103,,0,0.806561,103,0.844065,103,0.858046,103,0.84161,103,-0.380745,103,,0,0.61205,103,0.944367,103,0.958017,103,-0.41273,103,,0,0.802491,103,0.751031,103,-0.227849,103,,0,0.99462,103,-0.38249,103,,0,-0.41347,103,,0,,0
cand_021,1479,0.599215,1479,0.269091,1479,0.695581,1479,0.334361,1479,0.281521,1479,0.0757245,1479,,0,0.794512,1479,0.783443,1479,0.789652,1479,0.761451,1479,-0.236148,1479,,0,0.583614,1479,0.967381,1479,0.969973,1479,-0.377806,1479,,0,0.702306,1479,0.652548,1479,-0.225342,1479,,0,0.996877,1479,-0.355217,1479,,0,-0.357158,1479,,0,,0
cand_022,2551,0.604001,2551,0.4121,2551,0.61351,2551,0.447761,2551,0.400335,2551,-0.00337751,2551,,0,0.896427,2551,0.514814,2551,0.838392,2551,0.833501,2551,-0.0952341,2551,,0,0.408507,2551,0.949071,2551,0.9607,2551,-0.146025,2551,,0,0.61266,2551,0.541897,2551,-0.0675561,2551,,0,0.99528,2551,-0.131332,2551,,0,-0.134245,2551,,0,,0
cand_023,3581,0.600802,3581,0.22929,3581,0.670076,3581,0.288532,3581,0.237439,3581,0.031347,3581,,0,0.765788,3581,0.857364,3581,0.793166,3581,0.764791,3581,-0.297451,3581,,0,0.642049,3581,0.979607,3581,0.981389,3581,-0.524469,3581,,0,0.733954,3581,0.689879,3581,-0.335937,3581,,0,0.997266,3581,-0.524064,3581,,0,-0.520118,3581,,0,,0
cand_024,1459,0.601359,1459,0.268538,1459,0.692737,1459,0.339874,1459,0.286892,1459,0.163072,1459,,0,0.787196,1459,0.778438,1459,0.787817,1459,0.760129,1459,-0.241284,1459,,0,0.567913,1459,0.964959,1459,0.969189,1459,-0.511109,1459,,0,0.700902,1459,0.649413,1459,-0.218219,1459,,0,0.996713,1459,-0.505361,1459,,0,-0.518705,1459,,0,,0
cand_025,2201,0.577185,2201,0.260102,2201,0.679257,2201,0.321804,2201,0.270269,2201,0.113515,2201,,0,0.793914,2201,0.770774,2201,0.797488,2201,0.771359,2201,-0.240537,2201,,0,0.566286,2201,0.968449,2201,0.971325,2201,-0.536587,2201,,0,0.690056,2201,0.639753,2201,-0.2352,2201,,0,0.996932,2201,-0.526022,2201,,0,-0.534612,2201,,0,,0
cand_026,3584,0.594786,3584,0.235203,3584,0.67607,3584,0.291608,3584,0.242719,3584,-0.0467103,3584,,0,0.771279,3584,0.851413,3584,0.786404,3584,0.756789,3584,-0.304086,3584,,0,0.639931,3584,0.975727,3584,0.975933,3584,-0.436958,3584,,0,0.728545,3584,0.6854,3584,-0.334678,3584,,0,0.997341,3584,-0.416094,3584,,0,-0.405636,3584,,0,,0
cand_027,1260,0.615586,1260,0.419461,1260,0.628839,1260,0.457107,1260,0.408931,1260,-0.0395851,1260,,0,0.895952,1260,0.521898,1260,0.844784,1260,0.838772,1260,-0.059564,1260,,0,0.405357,1260,0.951974,1260,0.963497,1260,-0.122785,1260,,0,0.604336,1260,0.530981,1260,-0.0842759,1260,,0,0.995143,1260,-0.115767,1260,,0,-0.108962,1260,,0,,0
cand_028,3653,0.588892,3653,0.222965,3653,0.669124,3653,0.265287,3653,0.214865,3653,-0.0774897,3653,,0,0.771872,3653,0.844145,3653,0.782697,3653,0.754244,3653,-0.294331,3653,,0,0.650893,3653,0.98168,3653,0.981955,3653,-0.425984,3653,,0,0.725685,3653,0.681998,3653,-0.360732,3653,,0,0.997397,3653,-0.418973,3653,,0,-0.406219,3653,,0,,0
cand_029,1093,0.436632,1093,0.23134,1093,0.646828,1093,0.320881,1093,0.25785,1093,0.0288687,1093,,0,0.86953,1093,0.541688,1093,0.81719,1093,0.808285,1093,0.0298296,1093,,0,0.412604,1093,0.944864,1093,0.956917,1093,0.00598961,1093,,0,0.623146,1093,0.554733,1093,-0.069363,1093,,0,0.9955,1093,0.000694995,1093,,0,0.00468356,1093,,0,,0
