candidate_id,n_pairs_total,n_pairs_vs_candidate,n_pairs_vs_database,n_unique_neighbors,n_unique_cand_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_015,3624,31,3593,2098,14,3624,-63.5987,-68.8606,48.9953,0.116446,3624,-198.946,-200.697,94.8469,0.0140728,3624,-27.5206,-26.6533,13.9676,0,3624,-0.190952,-0.1877,0.0626943,0.0035872,3624,-0.674566,-0.625536,0.408074,0.0198675,3624,-5.57193,-5.15799,3.74822,0.0458057,3624,24.562,9.0748,40.0827,0.991998,0,,,,
cand_016,1993,11,1982,1065,8,1993,-41.0383,-45.9569,48.2529,0.18866,1993,-187.691,-180.928,112.782,0.0351229,1993,-26.9781,-24.5536,17.3169,0.0230808,1993,-0.180639,-0.177,0.06565,0.00351229,1993,-0.62767,-0.56133,0.463848,0.0546914,1993,-4.97644,-4.4658,4.21518,0.0943302,1993,29.8731,9.0643,49.0033,0.982439,0,,,,
cand_017,3549,26,3523,2058,14,3549,-65.7392,-69.9537,50.2253,0.122288,3549,-209.988,-209.567,95.639,0.0177515,3549,-27.5942,-26.6533,13.8318,0,3549,-0.197925,-0.1934,0.066878,0.00535362,3549,-0.727935,-0.679398,0.413798,0.0174697,3549,-6.15391,-5.78764,3.81346,0.0326853,3549,29.8605,11.7981,44.5525,0.987884,0,,,,
cand_018,380,9,371,370,7,380,-105.149,-109.253,47.2967,0.0236842,380,-432.512,-451.914,148.525,0.00526316,380,-45.4105,-42.2628,19.238,0.00263158,380,-0.316827,-0.32715,0.105305,0.00263158,380,-1.28557,-1.26469,0.50061,0.0131579,380,-10.351,-10.1959,4.0146,0.0131579,380,80.2137,47.656,79.9108,1,0,,,,
cand_019,3586,30,3556,2077,13,3586,-64.0636,-69.7795,50.0179,0.123815,3586,-201.899,-201.487,96.4992,0.0178472,3586,-27.2965,-25.6425,13.9587,0,3586,-0.192503,-0.1886,0.0656225,0.0044618,3586,-0.736416,-0.678183,0.411691,0.0125488,3586,-6.30592,-5.82195,3.77425,0.0206358,3586,22.8999,8.84645,36.3902,0.976854,0,,,,
cand_020,103,3,100,82,4,103,-58.1711,-58.9708,31.9713,0.0291262,103,-311.909,-330.222,152.317,0.0291262,103,-32.9111,-28.1079,20.5585,0.038835,103,-0.290937,-0.3009,0.110132,0,103,-1.07593,-1.05821,0.48082,0.0291262,103,-8.06317,-7.6211,3.53019,0.0291262,103,156.23,172.188,87.9789,1,0,,,,
cand_021,1479,29,1450,1287,10,1479,-68.4627,-71.7979,48.376,0.0987153,1479,-282.172,-278.778,111.001,0.0040568,1479,-32.5476,-31.0232,15.3153,0.00270453,1479,-0.216761,-0.2175,0.0724844,0.00473293,1479,-0.852876,-0.820342,0.416763,0.0182556,1479,-7.06301,-6.85884,3.64567,0.0196078,1479,112.484,106.35,92.5723,0.867478,0,,,,
cand_022,2551,35,2516,1438,14,2551,-68.4787,-64.3724,65.6726,0.138377,2551,-190.536,-164.44,157.682,0.0885927,2551,-22.8684,-20.6149,18.741,0.0776166,2551,-0.209376,-0.2061,0.0704375,0.00627205,2551,-0.76478,-0.713632,0.404601,0.0101921,2551,-6.13741,-5.80949,3.43746,0.0199922,2551,-43.8242,-33.7372,84.7482,0.398275,0,,,,
cand_023,3581,17,3564,1041,9,3581,-66.3455,-71.0839,51.4283,0.124546,3581,-214,-211.909,96.2976,0.0117286,3581,-27.2519,-25.2508,13.7831,0,3581,-0.200395,-0.1967,0.0662799,0.00139626,3581,-0.710611,-0.654178,0.409283,0.0175929,3581,-5.93583,-5.5144,3.75965,0.0404915,3581,21.9594,8.4345,35.7548,0.956157,0,,,,
cand_024,1459,26,1433,1275,8,1459,-68.5054,-71.8442,49.5974,0.109664,1459,-288.074,-285.175,110.992,0.00479781,1459,-33.1893,-31.8484,15.2842,0.0027416,1459,-0.219417,-0.2211,0.0739212,0.00959561,1459,-0.955382,-0.921325,0.416726,0.0123372,1459,-8.2241,-8.00511,3.64581,0.0130226,1459,110.185,92.8974,91.3604,0.920493,0,,,,
cand_025,2201,33,2168,1563,12,2201,-67.2772,-71.5658,49.3296,0.110859,2201,-237.647,-234.975,110.378,0.0159019,2201,-29.5603,-28.5143,15.0959,0.0081781,2201,-0.205616,-0.2053,0.0681175,0.0104498,2201,-0.911279,-0.888668,0.405173,0.00681508,2201,-7.97778,-7.84699,3.59247,0.00772376,2201,88.086,62.6928,89.3753,0.820082,0,,,,
cand_026,3584,26,3558,2081,13,3584,-65.1425,-69.3364,49.1014,0.113839,3584,-206.402,-208.037,94.1464,0.0128348,3584,-27.8381,-26.6533,13.825,0,3584,-0.195781,-0.19155,0.0639195,0.00446429,3584,-0.820363,-0.779212,0.40923,0.00530134,3584,-7.28588,-6.96638,3.77822,0.00837054,3584,30.2856,10.951,47.3903,0.912388,0,,,,
cand_027,1260,10,1250,714,6,1260,-66.3039,-63.7688,66.8375,0.149206,1260,-178.178,-149.497,158.405,0.103175,1260,-22.6685,-20.6149,18.6463,0.0809524,1260,-0.202047,-0.1986,0.070108,0.00555556,1260,-0.623094,-0.574029,0.400379,0.0349206,1260,-4.61028,-4.24065,3.39965,0.0698413,1260,34.4776,44.0914,85.8382,0.619048,0,,,,
cand_028,3653,17,3636,1062,10,3653,-60.3661,-65.214,49.2736,0.133863,3653,-191.012,-193.762,93.7804,0.0194361,3653,-27.7222,-26.6533,13.7897,0,3653,-0.184513,-0.1807,0.0607352,0.0057487,3653,-0.734938,-0.690165,0.40157,0.00821243,3653,-6.32672,-6.02659,3.70316,0.0213523,3653,25.0118,8.5365,42.8985,0.976731,0,,,,
cand_029,1093,21,1072,977,8,1093,-67.9049,-73.2897,49.4408,0.10979,1093,-299.694,-290.051,129.216,0.010064,1093,-31.7017,-30.6541,16.3829,0.0155535,1093,-0.202506,-0.2024,0.0698588,0.010064,1093,-0.893751,-0.869553,0.383006,0.0118939,1093,-7.54454,-7.42045,3.30437,0.0118939,1093,-61.7172,-46.2511,82.5738,0.348582,0,,,,
