candidate_id,candidate_frag,chemotype,n_pairs,n_distinct_neighbor_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_002,[*:2]c1nnnn1/N=[N+](/[*:1])[O-],azoxy,414,414,414,-64.6555,-67.6134,45.6405,0.101449,414,-243.324,-243.67,80.4433,0,414,-29.7911,-29.6147,13.3386,0,414,-0.205467,-0.2001,0.0569242,0,414,-0.953556,-0.923431,0.393513,0,414,-8.77419,-8.6238,3.67906,0,414,34.8672,15.3115,46.1512,0.905797,0,,,,
cand_002,[*:1]c1nnnn1/N=[N+](/[*:2])[O-],azoxy,192,192,192,-71.8029,-77.9534,52.7144,0.104167,192,-209.109,-201.95,103,0.0104167,192,-24.8181,-21.9952,14.374,0,192,-0.20069,-0.1903,0.0772157,0.0104167,192,-0.845897,-0.757343,0.461365,0,192,-7.72319,-7.10165,4.21723,0,192,29.9734,9.08185,46.8822,0.869792,0,,,,
cand_002,[*:1]n1nnnc1N[N+](=O)[O-],nitramine,4,4,4,28.3005,30.022,47.4953,0.5,4,-5.69435,-9.37259,23.4775,0.25,4,-7.54249,-8.47667,5.50243,0,4,-0.0134,-0.0155,0.0107972,0.25,4,-0.333361,-0.302995,0.13925,0,4,-3.6991,-3.35157,1.44469,0,4,6.01072,5.4016,8.36349,0.5,0,,,,
cand_002,[*:1]N[N+](=O)[O-],nitramine,2,2,2,22.4521,22.4521,59.5267,0.5,2,-16.5918,-16.5918,17.7932,0,2,-10.8466,-10.8466,3.35164,0,2,-0.02195,-0.02195,0.00275772,0,2,-0.506338,-0.506338,0.0312654,0,2,-5.57568,-5.57568,0.239752,0,2,-0.65305,-0.65305,0.533795,0,0,,,,
cand_002,[*:1]c1nnnn1[*:2],azole_ring,1,1,1,-5.2146,-5.2146,0,0,1,-17.2595,-17.2595,0,0,1,0,0,0,0,1,-0.0128,-0.0128,0,0,1,-0.199006,-0.199006,0,0,1,-2.34804,-2.34804,0,0,1,-1.3053,-1.3053,0,0,0,,,,
cand_002,[*:1]Nc1nnnn1[*:2],azole_ring,1,1,1,-5.2146,-5.2146,0,0,1,-17.2595,-17.2595,0,0,1,0,0,0,0,1,-0.0128,-0.0128,0,0,1,-0.199006,-0.199006,0,0,1,-2.34804,-2.34804,0,0,1,-1.3053,-1.3053,0,0,0,,,,
cand_003,[*:1]n1cnnn1,azole_ring,263,263,263,-44.2298,-53.222,47.6308,0.197719,263,-207.817,-174.85,149.291,0.0532319,263,-21.2139,-21.7555,19.8604,0.125475,263,-0.234729,-0.2344,0.0751015,0,263,-0.797955,-0.735224,0.43352,0.0228137,263,-6.22088,-5.86188,3.62452,0.0304183,263,79.6538,83.9762,83.5011,0.802281,0,,,,
cand_003,[*:1]NNc1nnnn1[*:2],hydrazo,158,158,158,-80.5883,-79.002,48.644,0.0253165,158,-267.89,-261.419,162.411,0.0379747,158,-30.5936,-27.7225,19.6217,0.0126582,158,-0.341135,-0.3279,0.109005,0,158,-1.17715,-1.08221,0.463408,0.0126582,158,-8.98252,-8.34359,3.48035,0.0189873,158,81.8262,101.216,84.6152,0.78481,0,,,,
cand_003,[*:1]NNn1cnnn1,hydrazo,141,141,141,-79.3305,-89.662,53.1562,0.106383,141,-266.35,-304.501,183.128,0.0992908,141,-31.2094,-30.5953,22.7598,0.0638298,141,-0.314252,-0.3319,0.117126,0,141,-1.10777,-1.12876,0.518205,0.035461,141,-8.46644,-8.59032,4.06885,0.035461,141,92.1287,119.185,84.126,0.829787,0,,,,
cand_003,[*:1]Nn1cnnn1,azole_ring,117,117,117,-59.8388,-66.722,44.8172,0.102564,117,-291.394,-317.183,166.804,0.0598291,117,-30.4819,-26.0335,22.2864,0.0854701,117,-0.244407,-0.263,0.0912771,0,117,-0.960897,-0.912344,0.512979,0.0512821,117,-7.59542,-7.49923,4.17047,0.0512821,117,98.0394,127.282,80.592,0.871795,0,,,,
cand_003,[*:1]Nc1nnnn1[*:2],azole_ring,77,77,77,-55.506,-62.872,42.2219,0.12987,77,-252.177,-255.837,152.251,0.0519481,77,-29.5622,-26.0335,17.366,0.012987,77,-0.24504,-0.2461,0.0776996,0,77,-0.960764,-0.876268,0.371558,0.012987,77,-7.6483,-6.98443,3.00624,0.025974,77,57.6126,67.5107,90.8759,0.701299,0,,,,
cand_003,[*:2]c1nnnn1[*:1],azole_ring,74,74,74,-49.3929,-54.897,40.7685,0.162162,74,-200.894,-167.813,138.741,0.027027,74,-22.3742,-22.3928,16.8824,0.0675676,74,-0.245301,-0.2405,0.0642252,0,74,-0.854651,-0.806136,0.362905,0,74,-6.70659,-6.70274,3.08864,0.0135135,74,37.47,27.0419,88.3502,0.581081,0,,,,
cand_003,[*:1]c1nnnn1[*:2],azole_ring,68,68,68,-39.624,-47.882,40.8503,0.205882,68,-185.259,-162.18,142.622,0.0588235,68,-22.5401,-22.0742,17.6091,0.0588235,68,-0.223399,-0.2243,0.0622719,0,68,-0.807747,-0.760124,0.360062,0.0147059,68,-6.38684,-5.98911,3.00257,0.0147059,68,79.2756,86.1454,85.1599,0.794118,0,,,,
cand_003,[*:1][H],other,3,3,3,24.941,6.53734,52.5024,0.666667,3,23.629,79.6811,172.23,0.666667,3,4.80813,10.097,21.5205,0.666667,3,-0.0481,-0.0482,0.0324501,0,3,-0.0673993,0.191494,0.510493,0.666667,3,-0.37915,2.06488,4.92405,0.666667,3,63.0142,99.7296,125.004,0.666667,0,,,,
cand_003,[*:1]N=[N+]=[N-],azide,1,1,1,-114.712,-114.712,0,0,1,-300.237,-300.237,0,0,1,-15.023,-15.023,0,0,1,-0.1614,-0.1614,0,0,1,-0.611573,-0.611573,0,0,1,-5.3152,-5.3152,0,0,1,-77.3367,-77.3367,0,0,0,,,,
cand_003,[*:1]NN[*:2],hydrazo,1,1,1,19.2476,19.2476,0,1,1,222.961,222.961,0,1,1,16.9805,16.9805,0,1,1,-0.0398,-0.0398,0,0,1,0.146768,0.146768,0,1,1,1.68592,1.68592,0,1,1,-58.233,-58.233,0,0,0,,,,
cand_004,[*:1]/N=[N+](\[O-])n1nnnc1N[*:2],azoxy,1178,1178,1178,-64.4311,-70.7959,48.4197,0.11545,1178,-187.28,-188.133,96.6928,0.0280136,1178,-27.3643,-26.1346,14.1744,0,1178,-0.189357,-0.1861,0.0628609,0.00339559,1178,-0.814357,-0.748923,0.41329,0.00254669,1178,-7.27666,-6.76438,3.78311,0.00764007,1178,25.4502,10.0775,39.7749,0.957555,0,,,,
cand_004,[*:2]Nn1nnnc1/N=[N+](\[*:1])[O-],azoxy,617,617,617,-54.1391,-59.2609,42.9654,0.150729,617,-203.735,-202.913,88.6869,0.00810373,617,-29.5314,-28.2204,13.6053,0,617,-0.185025,-0.1836,0.0564063,0.00162075,617,-0.825895,-0.792023,0.397023,0.00324149,617,-7.37636,-7.05869,3.69855,0.00324149,617,43.7476,19.8535,55.4686,0.980551,0,,,,
cand_004,[*:1]/N=[N+](\[O-])n1nnnc1[*:2],azoxy,609,609,609,-59.1066,-64.8509,47.997,0.129721,609,-202.312,-203.043,89.4022,0.00985222,609,-27.6421,-26.6533,13.8433,0,609,-0.181842,-0.1771,0.0627834,0.00656814,609,-0.808968,-0.758378,0.409808,0.00656814,609,-7.25975,-6.83682,3.75883,0.00985222,609,19.8011,7.8773,30.8547,0.957307,0,,,,
cand_004,[*:1]Nn1nnnc1/N=[N+](\[*:2])[O-],azoxy,525,525,525,-84.7491,-93.8109,50.4995,0.0609524,525,-206.346,-211.509,102.763,0.0304762,525,-26.2782,-23.245,13.6633,0,525,-0.219416,-0.2196,0.0723681,0.00571429,525,-0.824979,-0.751641,0.431208,0.00952381,525,-7.21888,-6.47449,3.94859,0.0133333,525,33.9466,12.512,49.8639,0.96,0,,,,
cand_004,[*:2]n1nnnc1/N=[N+](\[*:1])[O-],azoxy,415,415,415,-59.8323,-62.7509,45.6958,0.110843,415,-227.289,-228.179,81.229,0.00240964,415,-29.7193,-29.6147,13.4025,0,415,-0.193472,-0.1883,0.0577431,0.00240964,415,-0.849249,-0.820397,0.395815,0.00240964,415,-7.57293,-7.40217,3.69977,0.00240964,415,35.9606,16.4307,46.1273,0.978313,0,,,,
cand_004,[*:1]n1nnnc1/N=[N+](\[*:2])[O-],azoxy,192,192,192,-67.1112,-73.2859,52.7467,0.125,192,-193.58,-186.501,103.158,0.0208333,192,-24.8181,-21.9952,14.374,0,192,-0.18913,-0.1788,0.0773676,0.015625,192,-0.743357,-0.655335,0.462284,0.03125,192,-6.53694,-5.92154,4.22766,0.0416667,192,31.1569,10.2593,46.8782,0.963542,0,,,,
cand_004,[*:1]N[N+](=O)[O-],nitramine,3,2,3,43.848,68.2518,50.4581,0.666667,3,12.7386,8.04952,25.8277,0.666667,3,-10.0566,-8.47667,2.7366,0,3,-0.00273333,-0.01,0.0134616,0.333333,3,-0.290824,-0.292925,0.0992482,0,3,-3.14193,-3.16967,1.01979,0,3,7.11717,5.5082,7.92422,1,0,,,,
cand_004,[*:1]c1nnnn1[*:2],azole_ring,2,1,2,-0.270456,-0.270456,0.340774,0,2,-0.895168,-0.895168,1.12791,0,2,0,0,0,0,2,-0.0007,-0.0007,0.000848528,0,2,-0.0434636,-0.0434636,0.0574403,0,2,-0.523543,-0.523543,0.691886,0,2,0.3643,0.3643,0.627487,0.5,0,,,,
cand_004,[*:1]c1nnnn1N[N+](=O)[O-],nitramine,2,2,2,-7.31005,-7.31005,10.2963,0,2,-6.12351,-6.12351,8.5219,0,2,-6.6083,-6.6083,9.34555,0,2,-0.00565,-0.00565,0.00784889,0,2,-0.233861,-0.233861,0.326703,0,2,-2.52404,-2.52404,3.52101,0,2,0.3956,0.3956,0.583222,0.5,0,,,,
cand_004,[*:1]n1nnnc1N[N+](=O)[O-],nitramine,2,2,2,33.8702,33.8702,48.6229,0.5,2,3.1784,3.1784,6.8888,0.5,2,-4.23834,-4.23834,5.99391,0,2,-0.00615,-0.00615,0.00685894,0,2,-0.188502,-0.188502,0.147676,0,2,-2.09123,-2.09123,1.52515,0,2,2.7144,2.7144,3.95103,0.5,0,,,,
cand_004,[*:1]/N=[N+](\[*:2])[O-],azoxy,2,2,2,-5.90092,-5.90092,19.7707,0.5,2,-41.2793,-41.2793,96.1944,0.5,2,-5.55285,-5.55285,7.85292,0,2,-0.0009,-0.0009,0.0292742,0.5,2,-0.112591,-0.112591,0.183357,0.5,2,-1.17114,-1.17114,1.7691,0.5,2,0.58735,0.58735,0.321663,1,0,,,,
cand_004,[*:1]Nn1nnnc1[*:2],azole_ring,1,1,1,-0.029493,-0.029493,0,0,1,-0.0976169,-0.0976169,0,0,1,0,0,0,0,1,-0.0001,-0.0001,0,0,1,-0.00284713,-0.00284713,0,0,1,-0.0343058,-0.0343058,0,0,1,0.808,0.808,0,1,0,,,,
cand_004,[*:1]Nc1nnnn1[*:2],azole_ring,1,1,1,-0.51142,-0.51142,0,0,1,-1.69272,-1.69272,0,0,1,0,0,0,0,1,-0.0013,-0.0013,0,0,1,-0.08408,-0.08408,0,0,1,-1.01278,-1.01278,0,0,1,-0.0794,-0.0794,0,0,0,,,,
cand_005,[*:1]NNc1nnnn1[*:2],hydrazo,547,547,547,-44.8676,-51.0139,50.3943,0.171846,547,-132.792,-124.446,129.136,0.149909,547,-18.3145,-16.8449,16.1617,0.122486,547,-0.221362,-0.2192,0.0667412,0,547,-0.676152,-0.648391,0.372013,0.0255941,547,-5.20824,-5.01117,3.19751,0.0402194,547,35.1345,50.3817,81.0588,0.674589,0,,,,
cand_005,[*:1]c1nnnn1N=[N+]=[N-],azide,263,263,263,-130.248,-138.914,47.028,0,263,-293.918,-260.624,148.74,0.0114068,263,-31.3493,-31.8525,19.8094,0.0152091,263,-0.223988,-0.2237,0.0752261,0.00380228,263,-0.862221,-0.799247,0.433052,0.0152091,263,-6.831,-6.46968,3.62035,0.0190114,263,26.6322,31.1554,83.6294,0.631179,0,,,,
cand_005,[*:1]Nc1nnnn1[*:2],azole_ring,172,172,172,-37.7068,-48.5389,46.74,0.19186,172,-172.264,-155.378,110.418,0.0348837,172,-19.8655,-20.6149,14.3004,0.0290698,172,-0.183073,-0.1884,0.0524912,0,172,-0.619512,-0.590318,0.306977,0.0116279,172,-4.90615,-4.74785,2.73092,0.0116279,172,24.9489,30.0206,85.4124,0.604651,0,,,,
