pair_id,candidate_id,neighbor_id,context_smiles,candidate_frag,neighbor_frag,d_Hf,d_Q,d_OBgood,d_Pe,d_D,d_P,d_IS,d_nu
256503876,cand_050,cand_036,[*:1]c1nnnn1NNc1nnnn1N=[N+]=[N-],[*:1][N+](=O)[O-],[*:1]N=[N+]=[N-],77.6304,-81.1695,-13.0941,0.0326,-0.0702819,-0.779892,175.966,
261774972,cand_029,cand_032,[*:1]n1nnc(/N=[N+](\[O-])c2nnnn2N=[N+]=[N-])n1,[*:1]N=[N+]=[N-],[*:1][N+](=O)[O-],-82.7151,15.3213,12.2052,-0.0085,0.259444,2.69662,-212.735,
261774972,cand_032,cand_029,[*:1]n1nnc(/N=[N+](\[O-])c2nnnn2N=[N+]=[N-])n1,[*:1][N+](=O)[O-],[*:1]N=[N+]=[N-],82.7151,-15.3213,-12.2052,0.0085,-0.259444,-2.69662,212.735,
264276186,cand_029,cand_030,[*:1]n1nnnc1/[N+]([O-])=N/c1nnn(N=[N+]=[N-])n1,[*:1]N=[N+]=[N-],[*:1][N+](=O)[O-],-81.2969,20.6108,12.2052,-0.0048,0.325384,3.46054,-110.334,
264276186,cand_030,cand_029,[*:1]n1nnnc1/[N+]([O-])=N/c1nnn(N=[N+]=[N-])n1,[*:1][N+](=O)[O-],[*:1]N=[N+]=[N-],81.2969,-20.6108,-12.2052,0.0048,-0.325384,-3.46054,110.334,
264276210,cand_006,cand_007,[*:1]n1nnnc1/[N+]([O-])=N/c1nnnn1N=[N+]=[N-],[*:1]N=[N+]=[N-],[*:1][N+](=O)[O-],-80.2533,24.3105,12.2052,-0.0023,0.436292,4.77761,76.371,
264276210,cand_007,cand_006,[*:1]n1nnnc1/[N+]([O-])=N/c1nnnn1N=[N+]=[N-],[*:1][N+](=O)[O-],[*:1]N=[N+]=[N-],80.2533,-24.3105,-12.2052,0.0023,-0.436292,-4.77761,-76.371,
253902666,cand_035,cand_010,[*:1]c1nnn(/N=[N+](\[O-])n2nnnc2[N+](=O)[O-])n1,[*:1]N=[N+]=[N-],[*:1][H],-80.4773,-0.0420782,-4.60033,0.0091,-0.0931361,-0.988435,-2.4904,
253902666,cand_010,cand_035,[*:1]c1nnn(/N=[N+](\[O-])n2nnnc2[N+](=O)[O-])n1,[*:1][H],[*:1]N=[N+]=[N-],80.4773,0.0420782,4.60033,-0.0091,0.0931361,0.988435,2.4904,
256429044,cand_053,cand_052,[*:1]c1nnnn1/[N+]([O-])=N/c1nnnn1N[N+](=O)[O-],[*:1]N=[N+]=[N-],[*:1][H],-82.4245,-18.4728,-4.73992,0.001,-0.0960806,-0.977896,-5.3873,
256429044,cand_052,cand_053,[*:1]c1nnnn1/[N+]([O-])=N/c1nnnn1N[N+](=O)[O-],[*:1][H],[*:1]N=[N+]=[N-],82.4245,18.4728,4.73992,-0.001,0.0960806,0.977896,5.3873,
256429068,cand_046,cand_045,[*:1]c1nnnn1/[N+]([O-])=N/n1nnnc1N[N+](=O)[O-],[*:1]N=[N+]=[N-],[*:1][H],-84.1834,-25.1634,-4.73992,-0.0039,-0.0442166,-0.339061,-0.7549,
256429068,cand_045,cand_046,[*:1]c1nnnn1/[N+]([O-])=N/n1nnnc1N[N+](=O)[O-],[*:1][H],[*:1]N=[N+]=[N-],84.1834,25.1634,4.73992,0.0039,0.0442166,0.339061,0.7549,
256429074,cand_034,cand_018,[*:1]c1nnnn1/[N+]([O-])=N/n1nnnc1[N+](=O)[O-],[*:1]N=[N+]=[N-],[*:1][H],-81.5485,-5.43457,-4.60033,0.0051,-0.0944211,-0.990556,-2.9427,
256429074,cand_018,cand_034,[*:1]c1nnnn1/[N+]([O-])=N/n1nnnc1[N+](=O)[O-],[*:1][H],[*:1]N=[N+]=[N-],81.5485,5.43457,4.60033,-0.0051,0.0944211,0.990556,2.9427,
256503888,cand_036,cand_003,[*:1]c1nnnn1NNc1nnnn1N=[N+]=[N-],[*:1]N=[N+]=[N-],[*:1][H],-84.1677,-79.6811,-10.097,0.0156,-0.191494,-2.06488,-99.7296,
256503888,cand_003,cand_036,[*:1]c1nnnn1NNc1nnnn1N=[N+]=[N-],[*:1][H],[*:1]N=[N+]=[N-],84.1677,79.6811,10.097,-0.0156,0.191494,2.06488,99.7296,
256503918,cand_044,cand_020,[*:1]c1nnnn1NNn1cnnn1,[*:1]N=[N+]=[N-],[*:1][H],-76.6752,-85.3915,-15.023,0.0355,-0.233981,-2.48919,-58.2714,
256503918,cand_020,cand_044,[*:1]c1nnnn1NNn1cnnn1,[*:1][H],[*:1]N=[N+]=[N-],76.6752,85.3915,15.023,-0.0355,0.233981,2.48919,58.2714,
256437702,cand_062,cand_003,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnn(N)n1,[*:1]NNn1cnnn1,2.91119,117.947,0.749374,0.0395,0.0312691,0.18462,-44.9685,
256437702,cand_003,cand_062,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1cnnn1,[*:1]NNc1nnn(N)n1,-2.91119,-117.947,-0.749374,-0.0395,-0.0312691,-0.18462,44.9685,
256437690,cand_059,cand_003,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnnn1N,[*:1]NNn1cnnn1,-0.157328,104.258,0.749374,0.0272,-0.0605625,-0.758595,38.8686,
256437690,cand_003,cand_059,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1cnnn1,[*:1]NNc1nnnn1N,0.157328,-104.258,-0.749374,-0.0272,0.0605625,0.758595,-38.8686,
254647182,cand_013,cand_042,[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]NNn1cnnn1,[*:1]NNn1ncnn1,-3.80459,-18.1925,0,-0.0156,-0.183617,-1.90478,-17.7129,
254647182,cand_042,cand_013,[*:1]c1nnn(N=[N+]=[N-])n1,[*:1]NNn1ncnn1,[*:1]NNn1cnnn1,3.80459,18.1925,0,0.0156,0.183617,1.90478,17.7129,
256437672,cand_003,cand_012,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1cnnn1,[*:1]NNn1ncnn1,-3.47264,-16.6052,0,-0.0143,-0.0487204,-0.454248,77.5928,
256437672,cand_012,cand_003,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1ncnn1,[*:1]NNn1cnnn1,3.47264,16.6052,0,0.0143,0.0487204,0.454248,-77.5928,
256438542,cand_062,cand_012,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnn(N)n1,[*:1]NNn1ncnn1,-0.561444,101.342,0.749374,0.0252,-0.0174514,-0.269628,32.6243,
256438542,cand_012,cand_062,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1ncnn1,[*:1]NNc1nnn(N)n1,0.561444,-101.342,-0.749374,-0.0252,0.0174514,0.269628,-32.6243,
256438530,cand_059,cand_012,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnnn1N,[*:1]NNn1ncnn1,-3.62997,87.6524,0.749374,0.0129,-0.109283,-1.21284,116.461,
256438530,cand_012,cand_059,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1ncnn1,[*:1]NNc1nnnn1N,3.62997,-87.6524,-0.749374,-0.0129,0.109283,1.21284,-116.461,
256441026,cand_062,cand_059,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnn(N)n1,[*:1]NNc1nnnn1N,3.06852,13.6896,0,0.0123,0.0918315,0.943215,-83.8371,
256441026,cand_059,cand_062,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnnn1N,[*:1]NNc1nnn(N)n1,-3.06852,-13.6896,0,-0.0123,-0.0918315,-0.943215,83.8371,
254710698,cand_029,cand_022,[*:1]c1nnn(N=[N+]=[N-])n1.[*:2]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](\[*:2])[O-],[*:1]NN[*:2],-21.8273,-173.652,-13.8092,0.0147,-0.187086,-1.9679,-26.9005,
254710698,cand_022,cand_029,[*:1]c1nnn(N=[N+]=[N-])n1.[*:2]c1nnnn1N=[N+]=[N-],[*:1]NN[*:2],[*:1]/N=[N+](\[*:2])[O-],21.8273,173.652,13.8092,-0.0147,0.187086,1.9679,26.9005,
256497738,cand_006,cand_005,[*:1]c1nnnn1N=[N+]=[N-].[*:2]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](\[*:2])[O-],[*:1]NN[*:2],-23.0014,-177.62,-13.8092,0.0125,-0.213471,-2.24465,72.5803,
