id	Hf	Q	OBgood	Pe	D	P	IS
cand_001	358.04760699999997	1861.654054977434	-5.967699824698817	1.3227	9.387084374358752	39.40738671288714	60.5769
cand_002	290.938353	1776.865773739781	-0.0	1.318	9.65246133081764	42.47334408940322	31.0449
cand_003	327.57203599999997	1566.356027351408	-42.07908956151676	1.3428	8.806803508935232	33.421491335986126	124.3099
cand_004	286.270938	1761.417407142621	-0.0	1.3065	9.550452192631175	41.293235183164185	29.8675
cand_005	413.263949	1652.130602862397	-31.98209002958344	1.3321	8.870826211027538	34.029292893523156	177.1307
cand_006	436.265307	1829.750984590921	-18.17286942036118	1.3196	9.084297609464244	36.273945408143284	104.5504
cand_007	356.01196600000014	1854.061495953153	-5.967699824698817	1.3173	9.520589195235782	41.05155120498271	180.9214
cand_008	363.82491	1802.321802316957	-8.476671493660156	1.3196	9.441667549429852	40.1623057359839	34.0562
cand_009	291.302936	1778.0724827723168	-0.0	1.3189	9.459038305323961	40.10472886564635	29.4665
cand_010	269.302233	1830.7736454865692	-10.568031704095107	1.3098	9.111290881105814	36.40375490254206	30.6055
cand_011	363.73580400000003	1802.0070846960762	-8.476671493660156	1.3193	9.359910654833907	39.18468303143303	45.5899
cand_012	324.099399	1549.750867881222	-42.07908956151676	1.3285	8.758083059275965	32.967243579733484	201.9027
cand_013	323.886673	1548.733672835079	-42.07908956151676	1.3277	8.807018673977446	33.50853200918193	157.6781
cand_014	360.900088	1791.991487620528	-8.476671493660156	1.3119999999999998	9.356638434753675	39.19172850065029	40.0203
cand_015	286.495586	1762.160954622182	-0.0	1.3071	9.407092517878507	39.55676569041498	29.5284
cand_016	252.18686	1747.573293014606	-6.198907442563247	1.2897	9.233205394693039	37.80356358588718	29.5863
cand_017	285.72375	1759.60630596101	-0.0	1.3052	9.453455615868895	40.12530836226394	29.7396
cand_018	267.227687	1821.638700528402	-10.568031704095107	1.3032	9.178704529294317	37.22126644298177	29.6481
cand_019	285.759518	1759.724692086188	-0.0	1.3052	9.46637224084532	40.280456182604134	29.7881
cand_020	241.12083700000002	1434.218635498453	-57.10206995003568	1.3382	8.564536492220704	31.06741629607009	31.7136
cand_021	353.27790699999997	1843.863968818768	-5.967699824698817	1.31	9.266575552889742	38.06043259097217	43.7926
cand_022	411.012445	1643.1296274086512	-31.98209002958344	1.3249	8.904062732948239	34.440551594423106	244.2423
cand_023	285.75387	1759.705998146493	-0.0	1.3052	9.429298230342916	39.834418399238295	30.1239
cand_024	353.604212	1845.0810252508304	-5.967699824698817	1.3109	9.357438878674392	39.12824214615027	40.6783
cand_025	360.145822	1789.3274604951791	-8.476671493660156	1.31	9.364715534008203	39.300209236963504	48.9445
cand_026	286.241445	1761.319790222752	-0.0	1.3064	9.547605058345699	41.25892939039237	30.6755
cand_027	407.128788	1627.603693931399	-31.98209002958344	1.3124	8.752781215312554	32.84374593173839	158.7251
cand_028	282.033994	1747.393827888657	-0.0	1.2961	9.458050884550497	40.23919119578007	29.9011
cand_029	432.839733	1816.7817118843	-18.17286942036118	1.3102	9.091148664115172	36.408448135357524	271.1428
cand_030	351.542843	1837.392505613368	-5.967699824698817	1.3054	9.41653250462193	39.86898561198157	160.8084
cand_031	359.22024500000015	1786.058372090559	-8.476671493660156	1.3077	9.298632415652246	38.53144120206892	44.0079
cand_032	350.12467200000015	1832.1029938458087	-5.967699824698817	1.3017	9.35059290157558	39.10506569569138	58.4077
cand_033	260.530049	1701.736652399956	-8.787024493830776	1.2915	9.323241042269146	38.933845081256024	29.6367
cand_034	348.776154	1827.073274700682	-5.967699824698817	1.2981	9.273125627009632	38.21182219238217	32.5908
cand_035	349.779542	1830.815723695498	-5.967699824698817	1.3007	9.20442700777036	37.392189686333296	33.0959
cand_036	411.73972799999996	1646.037131206524	-31.98209002958344	1.3272	8.998297653824219	35.486370127841894	224.0395
cand_037	258.78682799999996	1695.3542667228064	-8.787024493830776	1.2867	9.266843532284208	38.29812976390028	29.5123
cand_038	270.905343	1746.067260449364	-13.216586816454651	1.2929	9.260702496809245	38.32752559399982	35.954
cand_039	244.231471	1800.5954481694782	-3.290826820238585	1.2864	9.486370275075592	40.749350683054	33.9594
cand_040	283.209319	1751.283957965114	-0.0	1.2990000000000002	9.39408981376934	39.45297157259299	29.6395
cand_041	300.566734	1745.521324782442	-5.591863838115542	1.2988	9.224082950185233	37.621933010947316	29.3969
cand_042	320.082083	1530.541208817482	-42.07908956151676	1.3121	8.623401738266779	31.603756203082828	139.9652
cand_043	236.356157	1405.8776885557932	-57.10206995003568	1.3118	8.58076697169144	31.382697697522612	60.3637
cand_044	317.796066	1519.6101276717832	-42.07908956151676	1.3027	8.798517344510756	33.55661045660098	89.985
cand_045	271.298791	1747.692272839914	-13.216586816454651	1.2941	9.12401509962937	36.72813027279383	30.0144
cand_046	355.482171	1772.855694875146	-8.476671493660156	1.298	9.168231749156352	37.06719168481808	30.7693
cand_047	263.888709	1806.936023293703	-10.568031704095107	1.2927	9.25954994594248	38.23061615370729	31.8753
cand_048	271.680317	1749.268045184206	-13.216586816454651	1.2953	9.085577076260467	36.27946753982511	29.8507
cand_049	262.597294	1801.249475517393	-10.568031704095107	1.2887	9.260729909075245	38.27001349372448	62.5149
cand_050	334.109376	1727.2066168496438	-18.88797072364538	1.2946	9.06857958751784	36.26626195934195	48.0739
cand_051	346.819633	1789.3172004750809	-25.098601649336683	1.3030000000000002	8.953571693353606	35.10740659833341	66.0769
cand_052	272.09823900000004	1750.9941396828021	-13.216586816454651	1.2965	9.161446952003528	37.145670083461546	29.9884
cand_053	354.52270899999996	1769.4669264648749	-8.476671493660156	1.2955	9.257527556737132	38.1235656636792	35.3757
cand_054	346.226636	1786.659451281821	-25.098601649336683	1.301	8.934354877917851	34.90260837163134	281.8049
cand_055	271.34711	1747.8918391706588	-13.216586816454651	1.2942	9.177560441788756	37.34678816354013	33.8759
cand_056	356.19690499999996	1775.380097093208	-8.476671493660156	1.2998	9.339021557669794	39.05886304733113	42.8786
cand_057	348.23524100000014	1825.055770691134	-5.967699824698817	1.2967	9.313522528721661	38.697130246549136	69.0476
cand_058	355.02157900000014	1771.228908593226	-8.476671493660156	1.2968	9.186894074440888	37.29089786450575	33.9283
cand_059	327.7293640000001	1462.098434084318	-42.828463082757075	1.3156	8.86736596481669	34.18008648729191	85.4413
cand_060	364.13482799999997	1639.2870301174994	-36.01494620267411	1.3231	8.909395918403039	34.61338992694993	128.5078
cand_061	356.340604	1775.8876342669448	-8.476671493660156	1.3002	9.46433589774459	40.5597134318049	75.6339
cand_062	324.660843	1448.408846754405	-42.828463082757075	1.3033	8.775534447339307	33.23687161601426	169.2784
1_00010111_0_00000000	158.3	1162.9444607699088	-117.54334410813988	0.9573	6.713609224879807	17.480383019593887	269.225
1_00010111_0_00104000	227.54	1190.3740517917865	-104.629871828407	0.9769	6.862195778477306	18.30574533042197	127.991
1_00010111_0_00206000	176.12	1381.6313439424082	-64.4122383252818	1.0265	7.744174476165682	25.20291875861928	95.7604
1_00010111_0_00303000	77.22	1146.9730650169533	-76.14062221164713	0.7645	7.032452117240442	20.722202858526327	79.9495
1_00010111_0_00405000	250.42	1599.3410838285608	-50.423194669547996	1.0488	7.8984094231742015	26.27133098004467	42.95399999999999
1_00010111_0_00502000	155.47	1382.0814865650336	-65.26283587416509	0.9475	7.656798077027682	24.96640031311005	173.6823
1_00010111_0_00600000	170.18	1457.0827612297965	-65.26283587416509	0.9989	7.63022937847068	24.413771762373013	82.7455
1_00010111_0_01000000	149.81	997.802051418676	-138.5373651258825	0.8936	6.265591135030163	14.692779456626965	102.8827
1_00010111_0_01105000	152.23	1280.4304726299185	-103.26528660897834	0.9603	6.769342307487642	17.850446752470006	301.7202
1_00010111_0_01200000	149.86	907.3625575199808	-130.7822717364979	0.8618	6.448835173337282	15.96233044997123	220.6521
1_00010111_0_01302000	104.89	898.0394180834622	-110.39964672113052	0.7776	6.632773648590832	17.626946636931677	301.7369
1_00010111_0_01401000	214.22	1044.0588751340283	-120.86948045618479	0.9123	6.502805474800472	16.043777460896465	86.3107
1_00010111_0_01503000	110.19	1317.6113608506205	-71.99014871649145	0.8741	7.358178741989469	22.822303287484022	305.7185
1_00010111_0_01604000	241.06	1419.985037862802	-66.88696898514951	1.0136	7.550310346957606	23.543543208881164	227.5566
1_00010111_0_02006000	180.25	1401.191825139718	-64.4122383252818	1.041	7.863668772084253	26.271807005908947	138.4546
1_00010111_0_02106000	170.95	1272.583567793223	-81.71603677221655	1.0132	7.393772231114871	22.325458392591	101.274
1_00010111_0_02202000	159.83	882.2587767719142	-101.56767498344006	0.8731	7.179712490812148	21.20282615260004	284.6042
1_00010111_0_02301000	110.37	928.2889212850521	-110.39964672113052	0.8038	6.657431207856848	17.676671242892283	299.4353
1_00010111_0_02403000	201.01	1243.4362495435764	-69.18420294032863	0.9371	7.579512709107021	24.195541169465407	78.391
1_00010111_0_02505000	176.2	1577.9084392418713	-36.496350364963504	1.0632	8.429770086391038	31.191276907209268	34.321
1_00010111_0_02606000	191.46	1499.1601817813018	-38.35515397381523	1.0841	8.463728593541065	31.475381648510762	42.3795
1_00010111_0_03004000	205.38	1362.7029512763424	-70.41888883135712	0.9487	7.454929615584496	23.106391498879727	90.5271
1_00010111_0_03100000	114.95	1039.7786263392322	-115.5651859877212	0.8415	6.5566640191603405	16.88022424254737	290.4262
1_00010111_0_03200000	125.85	1098.838155806857	-90.94716687608448	0.884	7.1684629382245895	21.196661752604605	240.1706
1_00010111_0_03303000	46.6	1136.4100946173482	-60.83319754494595	0.7608	7.408237050823192	23.720622508435287	41.0769
1_00010111_0_03404000	285.12	1464.5887972153414	-54.66814726232169	0.9813	7.748907135105584	25.34527024242439	44.5958
1_00010111_0_03505000	145.32	1615.9022891247778	-26.434265416546197	1.047	8.612476373306885	32.96944527824282	30.5287
1_00010111_0_03601000	119.95	1297.1322703515366	-70.74950254256025	0.8998	7.352862627729808	22.586401444357755	237.46
1_00010111_0_04002000	236.33	1229.9885500156138	-83.27261371916312	1.0042	7.492683189442687	23.14803559196096	301.3507
1_00010111_0_04100000	229.86	1202.511116923882	-104.629871828407	0.9869	6.927019358465658	18.787412913700766	287.183
1_00010111_0_04206000	257.22	1478.5549948839978	-50.76343446361293	1.0513	8.02173625211707	27.48240650835637	35.874
1_00010111_0_04306000	219.08	1486.6021265307736	-41.08398514655922	1.0199	8.268262226421786	29.905406750781932	107.326
1_00010111_0_04400000	320.09	1467.3604107453928	-66.01265242504815	1.0552	7.698364725544938	24.55183006994688	257.166
1_00010111_0_04503000	205.23	1499.5903834201242	-40.315807156055776	0.9879	8.174518404219672	29.12153951188541	35.3177
1_00010111_0_04605000	270.97	1665.3054606223864	-28.35471751612675	1.1243	8.586245751505507	32.23981719544038	34.0733
1_00010111_0_05004000	239.07	1548.2425785161176	-50.423194669547996	1.0153	7.871077663838651	26.20252868655161	113.5732
1_00010111_0_05101000	134.08	1193.658947076541	-103.26528660897834	0.8952	6.700329077003231	17.621599840554317	303.8887
1_00010111_0_05206000	171.66	1488.6830759740765	-37.47950339658	1.042	8.467406349958775	31.759201987633357	82.7095
1_00010111_0_05302000	116.56	1316.1007991326076	-52.79781266204686	0.9037	7.8601659588618515	26.859767635325994	50.1706
1_00010111_0_05402000	236.24	1460.9582598886734	-50.60301931348571	1.001	8.00109588460037	27.57681110731864	117.5554
1_00010111_0_05504000	251.99	1667.7271729934116	-26.954177897574123	1.0843	8.524428055431622	31.787160133103924	33.0365
